,src_id,slope_steepness_4px,abs_slope_steepness_4px
0,00003,17.04,17.04
1,00023,-12.56,12.56
2,00032,1.77,1.77
3,00040,-17.26,17.26
4,00044,4.4,4.4
5,00048,15.53,15.53
6,00052,9.81,9.81
7,00054,-2.64,2.64
8,00066,-2.59,2.59
9,00067,4.91,4.91
10,00079,1.16,1.16
11,00105,-5.64,5.64
12,00110,-32.98,32.98
13,00111,2.55,2.55
14,00113,15.38,15.38
15,00114,10.57,10.57
16,00132,-1.15,1.15
17,00137,-1.16,1.16
18,00148,-14.46,14.46
19,00150,6.81,6.81
20,00159,-10.89,10.89
21,00160,-11.39,11.39
22,00161,-2.56,2.56
23,00177,14.95,14.95
24,00195,7.53,7.53
25,00212,-5.01,5.01
26,00235,1.39,1.39
27,00253,3.03,3.03
28,00268,7.12,7.12
29,00289,11.9,11.9
30,00310,-4.87,4.87
31,00315,2.45,2.45
32,00326,-5.08,5.08
33,00339,-11.37,11.37
34,16725,-0.26,0.26
35,00358,1.06,1.06
36,00360,-7.66,7.66
37,00367,1.84,1.84
38,00370,1.31,1.31
39,00373,8.47,8.47
40,00381,1.55,1.55
41,00382,3.9,3.9
42,00384,-1.8,1.8
43,00386,2.05,2.05
44,00393,1.8,1.8
45,00395,0.51,0.51
46,00409,-1.02,1.02
47,00413,-6.33,6.33
48,00421,-7.94,7.94
49,24996,4.27,4.27
50,00426,-14.78,14.78
51,00435,-4.54,4.54
52,00436,3.52,3.52
53,00440,-1.26,1.26
54,00442,4.53,4.53
55,00455,1.51,1.51
56,00456,-5.56,5.56
57,00458,-9.27,9.27
58,00461,1.51,1.51
59,16851,-4.42,4.42
60,00471,-2.5,2.5
61,00481,1.24,1.24
62,00487,-3.99,3.99
63,00498,-0.5,0.5
64,00513,-6.01,6.01
65,00516,-15.68,15.68
66,00525,7.24,7.24
67,00529,3.12,3.12
68,00534,1.57,1.57
69,00542,-1.78,1.78
70,00554,-1.79,1.79
71,00556,3.85,3.85
72,00583,2.54,2.54
73,00595,0.76,0.76
74,00596,-0.25,0.25
75,00605,1.74,1.74
76,00607,-2.0,2.0
77,00613,1.74,1.74
78,00622,8.72,8.72
79,00634,-29.2,29.2
80,00643,-0.77,0.77
81,00651,-3.32,3.32
82,00657,-2.01,2.01
83,00658,5.53,5.53
84,00660,2.52,2.52
85,00669,5.79,5.79
86,00671,-6.25,6.25
87,00691,2.73,2.73
88,00692,3.5,3.5
89,00697,3.72,3.72
90,00708,2.23,2.23
91,00709,0.74,0.74
92,00719,-3.46,3.46
93,00723,0.99,0.99
94,00726,-2.71,2.71
95,00742,-8.84,8.84
96,00744,-5.92,5.92
97,00775,-3.46,3.46
98,00779,-0.49,0.49
99,00795,-0.49,0.49
100,00811,5.87,5.87
101,00830,-2.48,2.48
102,00842,-1.71,1.71
103,00847,2.95,2.95
104,00855,6.37,6.37
105,00862,-2.22,2.22
106,00868,2.21,2.21
107,00869,-1.23,1.23
108,00876,33.59,33.59
109,00886,3.47,3.47
110,00888,2.22,2.22
111,00889,3.44,3.44
112,00908,1.09,1.09
113,00918,-9.12,9.12
114,17314,-1.32,1.32
115,00940,22.55,22.55
116,00982,11.82,11.82
117,00987,-7.65,7.65
118,01005,4.9,4.9
119,01007,5.72,5.72
120,01023,9.22,9.22
121,01033,4.28,4.28
122,01035,-13.16,13.16
123,01039,1.88,1.88
124,01055,3.99,3.99
125,01060,-3.2,3.2
126,01067,59.15,59.15
127,01070,-1.34,1.34
128,01073,-4.27,4.27
129,01074,9.05,9.05
130,01076,0.81,0.81
131,01078,-2.37,2.37
132,01080,2.38,2.38
133,01083,-2.92,2.92
134,01090,1.57,1.57
135,01111,-2.09,2.09
136,01112,2.35,2.35
137,01119,9.15,9.15
138,01125,3.12,3.12
139,01132,-1.8,1.8
