,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,geometry,Slope_resorted,Slope_sorted
0,3,FAIR ISLE,fair-isle,shetland,59.526,-1.63,57,1974,2020,POINT (-1.63 59.526),30.63,38.76
1,9,LERWICK,lerwick,shetland,60.139,-1.185,82,1930,2020,POINT (-1.185 60.139),6.11,9.68
2,12,BALTASOUND NO 2,baltasound-no-2,shetland,60.748,-0.856,15,1990,2020,POINT (-0.856 60.748),6.53,8.76
3,23,KIRKWALL,kirkwall,orkney,58.953,-2.901,26,1957,2020,POINT (-2.901 58.953),4.91,12.01
4,32,WICK AIRPORT,wick-airport,caithness,58.454,-3.09,36,1930,2020,POINT (-3.09 58.454),11.76,9.36
5,44,ALTNAHARRA NO 2,altnaharra-no-2,sutherland,58.288,-4.442,81,1993,2020,POINT (-4.442 58.288),8.99,9.16
6,48,"KINBRACE, HATCHERY",kinbrace-hatchery,sutherland,58.23,-3.922,103,1999,2020,POINT (-3.922 58.23),6.3,10.28
7,52,AULTBEA NO 2,aultbea-no-2,ross-and-cromarty,57.859,-5.633,11,1990,2020,POINT (-5.633 57.859),11.55,15.9
8,66,KINLOCHEWE,kinlochewe,ross-and-cromarty,57.613,-5.306,25,2005,2020,POINT (-5.306 57.613),7.0,10.54
9,79,TAIN RANGE,tain-range,ross-and-cromarty,57.819,-3.967,4,1990,2020,POINT (-3.967 57.819),2.78,4.28
10,105,TULLOCH BRIDGE,tulloch-bridge,inverness-shire,56.867,-4.708,249,1990,2020,POINT (-4.708 56.867),17.82,24.99
11,111,DALWHINNIE NO 2,dalwhinnie-no-2,inverness-shire,56.94,-4.238,351,2000,2020,POINT (-4.238 56.94),8.42,8.05
12,132,KINLOSS,kinloss,moray-in-grampian-region,57.645,-3.563,5,1957,2020,POINT (-3.563 57.645),4.61,4.69
13,137,LOSSIEMOUTH,lossiemouth,moray-in-grampian-region,57.711,-3.323,7,1989,2020,POINT (-3.323 57.711),5.63,7.91
14,148,BALMORAL,balmoral,aberdeenshire,57.037,-3.22,283,2013,2020,POINT (-3.22 57.037),13.14,17.24
15,159,FYVIE CASTLE,fyvie-castle,aberdeenshire,57.443,-2.39,55,1999,2020,POINT (-2.39 57.443),9.79,12.27
16,160,CRAIBSTONE,craibstone,aberdeenshire,57.187,-2.215,102,2010,2020,POINT (-2.215 57.187),10.51,16.75
17,161,DYCE,dyce,aberdeenshire,57.205,-2.205,65,1957,2020,POINT (-2.205 57.205),3.9,4.0
18,177,INVERBERVIE NO 2,inverbervie-no-2,kincardineshire,56.852,-2.266,134,1992,2020,POINT (-2.266 56.852),7.68,19.07
19,195,TYNDRUM NO 3,tyndrum-no-3,perthshire-in-central-region,56.419,-4.661,168,1999,2020,POINT (-4.661 56.419),6.2,29.05
20,212,STRATHALLAN AIRFIELD,strathallan-airfield,perthshire-in-tayside-region,56.326,-3.729,35,1990,2020,POINT (-3.729 56.326),4.03,6.36
21,253,"EDINBURGH, ROYAL BOTANIC GARDEN NO 2",edinburgh-royal-botanic-garden-no-2,midlothian-in-lothian-region,55.967,-3.212,28,2010,2020,POINT (-3.212 55.967),6.31,13.65
22,268,CHARTERHALL,charterhall,berwickshire,55.709,-2.385,112,1990,2020,POINT (-2.385 55.709),2.4,2.5
23,289,KIELDER CASTLE,kielder-castle,northumberland,55.234,-2.58,201,2013,2020,POINT (-2.58 55.234),10.85,11.51
24,315,BOULMER,boulmer,northumberland,55.421,-1.601,23,1988,2020,POINT (-1.601 55.421),2.63,3.54
25,326,DURHAM,durham,durham,54.768,-1.586,102,1997,2020,POINT (-1.586 54.768),7.46,12.63
26,339,BAINBRIDGE,bainbridge,north-yorkshire,54.308,-2.101,210,2010,2020,POINT (-2.101 54.308),7.89,15.59
27,358,FYLINGDALES,fylingdales,north-yorkshire,54.359,-0.672,262,1984,2020,POINT (-0.672 54.359),6.36,9.84
28,360,SCARBOROUGH,scarborough,north-yorkshire,54.273,-0.423,110,2010,2020,POINT (-0.423 54.273),9.97,11.54
29,373,BRIDLINGTON MRSC,bridlington-mrsc,humberside,54.094,-0.176,15,1994,2020,POINT (-0.176 54.094),3.27,15.45
30,381,SCAMPTON,scampton,lincolnshire,53.307,-0.548,57,1984,2020,POINT (-0.548 53.307),1.95,2.88
31,393,CONINGSBY,coningsby,lincolnshire,53.094,-0.173,6,1978,2020,POINT (-0.173 53.094),2.45,4.21
32,395,HOLBEACH NO 2,holbeach-no-2,lincolnshire,52.873,0.139,3,1990,2020,POINT (0.139 52.873),3.74,9.41
33,409,MARHAM,marham,norfolk,52.651,0.566,21,1957,2020,POINT (0.5659999999999999 52.651),1.51,2.51
34,24996,"HEREFORD, CREDENHILL",hereford-credenhill,hereford-and-worcester,52.08,-2.802,76,1999,2020,POINT (-2.802 52.08),5.56,5.31
35,426,CROMER,cromer,norfolk,52.934,1.291,37,2009,2020,POINT (1.291 52.934),9.02,31.29
36,435,BROOMS BARN,brooms-barn,suffolk,52.261,0.566,75,2009,2020,POINT (0.5659999999999999 52.261),2.71,4.68
37,442,CHARSFIELD,charsfield,suffolk,52.163,1.28,49,2010,2020,POINT (1.28 52.163),2.2,3.35
38,455,"CAMBRIDGE, NIAB",cambridge-niab,cambridgeshire,52.245,0.1,26,2009,2020,POINT (0.1 52.245),3.31,4.26
39,458,WOBURN,woburn,bedfordshire,52.014,-0.596,89,2000,2020,POINT (-0.596 52.014),4.59,5.27
40,461,BEDFORD,bedford,bedfordshire,52.227,-0.465,85,1980,2020,POINT (-0.465 52.227),6.44,6.93
41,471,ROTHAMSTED,rothamsted,hertfordshire,51.807,-0.36,128,1999,2020,POINT (-0.36 51.807),3.44,4.82
42,487,WRITTLE,writtle,essex,51.734,0.429,32,2009,2020,POINT (0.429 51.734),2.94,2.78
43,498,"SHOEBURYNESS, LANDWICK",shoeburyness-landwick,essex,51.555,0.827,2,1981,2020,POINT (0.827 51.555),11.47,19.56
44,513,"BINGLEY, NO 2",bingley-no-2,west-yorkshire,53.811,-1.867,262,1994,2020,POINT (-1.867 53.811),6.39,7.25
45,516,BRADFORD,bradford,west-yorkshire,53.814,-1.774,134,2010,2020,POINT (-1.774 53.814),6.42,9.56
46,525,SHEFFIELD,sheffield,south-yorkshire,53.381,-1.491,131,2008,2020,POINT (-1.491 53.381),7.73,11.89
47,534,BRAMHAM,bramham,west-yorkshire,53.869,-1.319,54,2001,2020,POINT (-1.319 53.869),4.12,5.08
48,542,COTON-IN-THE-ELMS,coton-in-the-elms,derbyshire,52.737,-1.641,85,2010,2020,POINT (-1.641 52.737),2.9,3.73
49,583,WITTERING,wittering,cambridgeshire,52.612,-0.468,74,1957,2020,POINT (-0.468 52.612),1.95,2.61
50,595,CHURCH LAWFORD,church-lawford,warwickshire,52.359,-1.331,107,1990,2020,POINT (-1.331 52.359),4.58,9.48
51,605,BRIZE NORTON,brize-norton,oxfordshire,51.758,-1.578,82,1968,2020,POINT (-1.578 51.758),2.54,4.78
52,613,BENSON,benson,oxfordshire,51.62,-1.099,57,1974,2020,POINT (-1.099 51.62),1.95,2.96
53,622,KEELE,keele,staffordshire,52.999,-2.27,179,2006,2020,POINT (-2.27 52.999),6.12,9.81
54,634,PENNERLEY,pennerley,shropshire,52.59,-2.95,357,2010,2020,POINT (-2.95 52.59),9.8,23.54
55,634,PENNERLEY,pennerley,shropshire,52.59,-2.95,357,2010,2020,POINT (-2.95 52.59),18.63,18.25
56,643,SHAWBURY,shawbury,shropshire,52.795,-2.665,72,1957,2020,POINT (-2.665 52.795),2.24,3.01
57,658,PERSHORE COLLEGE,pershore-college,hereford-and-worcester,52.1,-2.06,37,1999,2020,POINT (-2.06 52.1),2.12,2.49
58,660,ASTWOOD BANK,astwood-bank,hereford-and-worcester,52.248,-1.935,137,2010,2020,POINT (-1.935 52.248),4.58,9.43
59,708,HEATHROW,heathrow,greater-london,51.479,-0.451,25,1949,2020,POINT (-0.451 51.479),6.55,10.57
60,719,WISLEY,wisley,surrey,51.311,-0.476,38,2000,2020,POINT (-0.476 51.311),5.74,12.46
61,742,GOUDHURST,goudhurst,kent,51.077,0.46,85,2009,2020,POINT (0.46 51.077),4.57,8.08
62,775,MANSTON,manston,kent,51.347,1.335,49,1961,2020,POINT (1.335 51.347),2.78,5.63
63,811,"HERSTMONCEUX, WEST END",herstmonceux-west-end,east-sussex,50.891,0.317,52,1992,2020,POINT (0.317 50.891),8.3,10.08
64,830,"READING UNIVERSITY, WHITEKNIGHTS",reading-university-whiteknights,berkshire,51.441,-0.938,66,2012,2020,POINT (-0.9379999999999999 51.441),4.08,4.05
65,842,HURN,hurn,dorset,50.779,-1.836,10,1957,2020,POINT (-1.836 50.779),11.5,13.08
66,855,OTTERBOURNE W WKS,otterbourne-w-wks,hampshire,51.009,-1.335,34,2010,2020,POINT (-1.335 51.009),4.0,6.8
67,869,SOUTH FARNBOROUGH,south-farnborough,hampshire,51.28,-0.773,65,1957,2020,POINT (-0.773 51.28),2.24,2.51
68,876,WIGHT: ST CATHERINES POINT,wight-st-catherines-point,isle-of-wight,50.576,-1.297,20,1982,2020,POINT (-1.297 50.576),23.33,19.32
69,888,LARKHILL,larkhill,wiltshire,51.202,-1.806,132,1995,2020,POINT (-1.806 51.202),3.34,5.86
70,889,BOSCOMBE DOWN,boscombe-down,wiltshire,51.162,-1.755,126,1957,2020,POINT (-1.755 51.162),5.39,6.97
71,908,MACHRIHANISH,machrihanish,argyll-in-strathclyde-region,55.441,-5.697,10,1965,2020,POINT (-5.697 55.441),5.64,6.59
72,918,DUNSTAFFNAGE,dunstaffnage,argyll-in-strathclyde-region,56.45,-5.44,3,1980,2020,POINT (-5.44 56.45),10.06,13.34
73,940,GT CUMBRAE: MILLPORT,gt-cumbrae-millport,buteshire,55.749,-4.908,5,2010,2020,POINT (-4.908 55.749),59.13,154.64
74,982,SALSBURGH,salsburgh,lanarkshire,55.861,-3.875,277,1994,2020,POINT (-3.875 55.861),4.89,8.93
75,1005,AUCHINCRUIVE,auchincruive,ayrshire,55.477,-4.565,48,2005,2020,POINT (-4.565 55.477),6.72,8.24
76,1007,"PRESTWICK, GANNET",prestwick-gannet,ayrshire,55.515,-4.585,27,1994,2020,POINT (-4.585 55.515),4.84,5.77
77,1023,ESKDALEMUIR,eskdalemuir,dumfriesshire,55.312,-3.207,236,1954,2020,POINT (-3.207 55.312),9.14,17.46
78,1033,DUNDRENNAN,dundrennan,kirkcudbrightshire,54.803,-4.008,113,1990,2020,POINT (-4.008 54.803),7.03,10.13
79,1035,THREAVE,threave,kirkcudbrightshire,54.926,-3.95,73,2005,2020,POINT (-3.95 54.926),7.28,6.24
80,1039,WEST FREUGH,west-freugh,wigtownshire,54.859,-4.935,11,1961,2020,POINT (-4.935 54.859),3.16,3.11
81,1055,ST BEES HEAD NO 2,st-bees-head-no-2,cumbria,54.518,-3.615,124,1992,2020,POINT (-3.615 54.518),37.16,52.33
82,1060,KESWICK,keswick,cumbria,54.614,-3.157,81,1992,2020,POINT (-3.157 54.614),4.51,5.81
83,1074,WARCOP RANGE,warcop-range,cumbria,54.572,-2.413,227,1992,2020,POINT (-2.413 54.572),7.25,10.3
84,1076,SPADEADAM NO 2,spadeadam-no-2,cumbria,55.05,-2.554,285,1992,2020,POINT (-2.554 55.05),3.47,3.16
85,1078,WALNEY ISLAND,walney-island,cumbria,54.125,-3.258,15,1992,2020,POINT (-3.258 54.125),4.13,4.15
86,1083,SHAP,shap,cumbria,54.502,-2.685,252,1992,2020,POINT (-2.685 54.502),8.06,10.99
87,1090,"BLACKPOOL, SQUIRES GATE",blackpool-squires-gate,lancashire,53.775,-3.038,10,1957,2020,POINT (-3.038 53.775),8.78,7.89
88,1111,"PRESTON, MOOR PARK",preston-moor-park,lancashire,53.774,-2.705,33,2009,2020,POINT (-2.705 53.774),3.66,5.24
89,1132,"NANTWICH, REASEHEATH HALL",nantwich-reaseheath-hall,cheshire,53.086,-2.526,40,2011,2020,POINT (-2.526 53.086),7.98,7.75
90,1144,HAWARDEN AIRPORT,hawarden-airport,clwyd,53.175,-2.986,11,1992,2020,POINT (-2.986 53.175),2.76,4.16
91,1161,ABERDARON,aberdaron,gwynedd,52.789,-4.741,86,1993,2020,POINT (-4.741 52.789),13.34,20.33
92,1166,PORTHMADOG,porthmadog,gwynedd,52.915,-4.158,7,2010,2020,POINT (-4.158 52.915),16.07,36.92
93,1180,BALA,bala,gwynedd,52.908,-3.584,163,1997,2020,POINT (-3.584 52.908),11.1,21.96
94,1198,ABERPORTH,aberporth,dyfed,52.14,-4.571,133,1957,2020,POINT (-4.571 52.14),46.11,108.17
95,1205,GOGERDDAN,gogerddan,dyfed,52.432,-4.02,31,2011,2020,POINT (-4.02 52.432),9.85,23.8
96,1209,TRAWSGOED,trawsgoed,dyfed,52.344,-3.948,63,1992,2020,POINT (-3.948 52.344),11.59,40.76
97,1215,MILFORD HAVEN CONSERVANCY BOARD,milford-haven-conservancy-board,dyfed,51.709,-5.053,44,1964,2020,POINT (-5.053 51.709),25.48,46.39
98,1223,WHITECHURCH,whitechurch,dyfed,51.989,-4.679,129,2011,2020,POINT (-4.679 51.989),3.32,4.5
99,1226,PEMBREY SANDS,pembrey-sands,dyfed,51.714,-4.367,3,1993,2020,POINT (-4.367 51.714),8.83,17.54
100,1249,LIBANUS,libanus,powys-south,51.924,-3.489,331,2012,2020,POINT (-3.489 51.924),7.4,9.89
101,1255,MUMBLES HEAD,mumbles-head,west-glamorgan,51.566,-3.982,43,1982,2020,POINT (-3.982 51.566),22.72,26.09
102,1272,"CARDIFF, BUTE PARK",cardiff-bute-park,south-glamorgan,51.488,-3.189,9,2010,2020,POINT (-3.189 51.488),3.81,5.73
103,1285,LISCOMBE,liscombe,somerset,51.087,-3.609,348,1993,2020,POINT (-3.609 51.087),9.17,12.1
104,1302,YEOVILTON,yeovilton,somerset,51.006,-2.643,20,1964,2020,POINT (-2.643 51.006),3.03,4.47
105,1319,ISLE OF PORTLAND,isle-of-portland,dorset,50.522,-2.456,52,1967,2020,POINT (-2.456 50.522),6.88,26.69
106,1326,SWANAGE,swanage,dorset,50.614,-1.959,10,2011,2020,POINT (-1.959 50.614),9.48,13.25
107,1352,NORTH WYKE,north-wyke,devon,50.769,-3.904,177,2000,2020,POINT (-3.904 50.769),6.66,14.31
108,1383,DUNKESWELL AERODROME,dunkeswell-aerodrome,devon,50.86,-3.24,252,1991,2020,POINT (-3.24 50.86),8.89,11.43
