,level_0,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,raster_id,geometry,computed_height,difference_height,slope_steepness,abs_slope_steepness,dir_slope_steepness
0,0,00003,FAIR ISLE,fair-isle,shetland,59.526,-1.63,57,1974,2020,4,"POLYGON ((-1.605 59.526, -1.605120381833195 59.52354957149176, -1.6054803679899192 59.5211227419496, -1.6060764916066947 59.51874288306864, -1.6069030116872178 59.51643291419088, -1.607951968391291 59.51421508157935, -1.6092132596924362 59.512110744174514, -1.6106747386659315 59.51014016789591, -1.6123223304703362 59.50832233047034, -1.6141401678959089 59.506674738665936, -1.6161107441745097 59.50521325969244, -1.61821508157935 59.50395196839129, -1.6204329141908727 59.50290301168722, -1.6227428830686383 59.5020764916067, -1.6251227419495966 59.50148036798992, -1.627549571491761 59.501120381833196, -1.63 59.501000000000005, -1.6324504285082388 59.501120381833196, -1.6348772580504032 59.50148036798992, -1.6372571169313614 59.5020764916067, -1.6395670858091271 59.50290301168722, -1.6417849184206499 59.50395196839129, -1.6438892558254898 59.50521325969244, -1.645859832104091 59.506674738665936, -1.6476776695296635 59.50832233047034, -1.6493252613340683 59.51014016789591, -1.6507867403075636 59.512110744174514, -1.6520480316087087 59.51421508157935, -1.653096988312782 59.51643291419088, -1.653923508393305 59.51874288306864, -1.6545196320100806 59.5211227419496, -1.6548796181668048 59.52354957149176, -1.6549999999999998 59.526, -1.6548796181668048 59.52845042850824, -1.6545196320100806 59.53087725805041, -1.653923508393305 59.53325711693137, -1.653096988312782 59.53556708580913, -1.6520480316087087 59.537784918420655, -1.6507867403075636 59.53988925582549, -1.6493252613340683 59.541859832104095, -1.6476776695296635 59.543677669529664, -1.6458598321040911 59.54532526133407, -1.6438892558254898 59.54678674030757, -1.6417849184206499 59.548048031608715, -1.6395670858091271 59.54909698831278, -1.6372571169313614 59.549923508393306, -1.6348772580504032 59.55051963201009, -1.6324504285082388 59.55087961816681, -1.63 59.551, -1.627549571491761 59.55087961816681, -1.6251227419495966 59.55051963201009, -1.6227428830686383 59.549923508393306, -1.6204329141908727 59.54909698831278, -1.61821508157935 59.548048031608715, -1.61611074417451 59.54678674030757, -1.6141401678959089 59.54532526133407, -1.6123223304703362 59.543677669529664, -1.6106747386659315 59.541859832104095, -1.6092132596924362 59.53988925582549, -1.607951968391291 59.537784918420655, -1.6069030116872178 59.53556708580913, -1.6060764916066947 59.53325711693137, -1.6054803679899192 59.53087725805041, -1.605120381833195 59.52845042850824, -1.605 59.526))",57,0,14.2,14.2,nw-se
1,1,00023,KIRKWALL,kirkwall,orkney,58.953,-2.901,26,1957,2020,4,"POLYGON ((-2.876 58.953, -2.876120381833195 58.95054957149176, -2.876480367989919 58.9481227419496, -2.8770764916066947 58.94574288306864, -2.8779030116872177 58.94343291419088, -2.878951968391291 58.94121508157935, -2.8802132596924364 58.93911074417451, -2.8816747386659314 58.93714016789591, -2.883322330470336 58.93532233047034, -2.8851401678959085 58.933674738665935, -2.88711074417451 58.93221325969244, -2.88921508157935 58.93095196839129, -2.8914329141908723 58.92990301168722, -2.8937428830686382 58.9290764916067, -2.8961227419495965 58.92848036798992, -2.8985495714917606 58.928120381833196, -2.901 58.928000000000004, -2.903450428508239 58.928120381833196, -2.905877258050403 58.92848036798992, -2.9082571169313614 58.9290764916067, -2.9105670858091273 58.92990301168722, -2.9127849184206496 58.93095196839129, -2.9148892558254897 58.93221325969244, -2.916859832104091 58.933674738665935, -2.9186776695296635 58.93532233047034, -2.9203252613340682 58.93714016789591, -2.9217867403075632 58.93911074417451, -2.9230480316087086 58.94121508157935, -2.924096988312782 58.94343291419088, -2.924923508393305 58.94574288306864, -2.9255196320100807 58.9481227419496, -2.9258796181668045 58.95054957149176, -2.9259999999999997 58.953, -2.9258796181668045 58.95545042850824, -2.9255196320100807 58.95787725805041, -2.924923508393305 58.960257116931366, -2.924096988312782 58.96256708580913, -2.9230480316087086 58.964784918420655, -2.9217867403075632 58.96688925582549, -2.9203252613340682 58.968859832104094, -2.9186776695296635 58.970677669529664, -2.916859832104091 58.97232526133407, -2.9148892558254897 58.97378674030757, -2.9127849184206496 58.975048031608715, -2.9105670858091273 58.97609698831278, -2.9082571169313614 58.976923508393305, -2.905877258050403 58.977519632010086, -2.903450428508239 58.97787961816681, -2.901 58.978, -2.8985495714917606 58.97787961816681, -2.8961227419495965 58.977519632010086, -2.8937428830686382 58.976923508393305, -2.8914329141908723 58.97609698831278, -2.88921508157935 58.975048031608715, -2.88711074417451 58.97378674030757, -2.8851401678959085 58.97232526133407, -2.883322330470336 58.970677669529664, -2.8816747386659314 58.968859832104094, -2.8802132596924364 58.96688925582549, -2.878951968391291 58.964784918420655, -2.8779030116872177 58.96256708580913, -2.8770764916066947 58.960257116931366, -2.876480367989919 58.95787725805041, -2.876120381833195 58.95545042850824, -2.876 58.953))",31,5,-11.63,11.63,nw-se
2,2,00032,WICK AIRPORT,wick-airport,caithness,58.454,-3.09,36,1930,2020,4,"POLYGON ((-3.065 58.454, -3.065120381833195 58.45154957149176, -3.065480367989919 58.449122741949594, -3.0660764916066947 58.44674288306864, -3.066903011687218 58.44443291419088, -3.067951968391291 58.44221508157935, -3.0692132596924364 58.44011074417451, -3.0706747386659314 58.43814016789591, -3.072322330470336 58.43632233047034, -3.0741401678959086 58.43467473866593, -3.07611074417451 58.43321325969244, -3.07821508157935 58.43195196839129, -3.0804329141908724 58.43090301168722, -3.0827428830686383 58.4300764916067, -3.0851227419495966 58.42948036798992, -3.0875495714917607 58.429120381833194, -3.09 58.429, -3.092450428508239 58.429120381833194, -3.094877258050403 58.42948036798992, -3.0972571169313614 58.4300764916067, -3.0995670858091273 58.43090301168722, -3.1017849184206496 58.43195196839129, -3.10388925582549 58.43321325969244, -3.105859832104091 58.43467473866593, -3.1076776695296635 58.43632233047034, -3.1093252613340683 58.43814016789591, -3.1107867403075633 58.44011074417451, -3.1120480316087087 58.44221508157935, -3.113096988312782 58.44443291419088, -3.113923508393305 58.44674288306864, -3.1145196320100808 58.449122741949594, -3.1148796181668046 58.45154957149176, -3.1149999999999998 58.454, -3.1148796181668046 58.45645042850824, -3.1145196320100808 58.45887725805041, -3.113923508393305 58.461257116931364, -3.113096988312782 58.463567085809125, -3.1120480316087087 58.46578491842065, -3.1107867403075633 58.46788925582549, -3.1093252613340683 58.46985983210409, -3.1076776695296635 58.47167766952966, -3.105859832104091 58.47332526133407, -3.10388925582549 58.474786740307565, -3.1017849184206496 58.47604803160871, -3.0995670858091273 58.47709698831278, -3.0972571169313614 58.4779235083933, -3.094877258050403 58.478519632010084, -3.092450428508239 58.47887961816681, -3.09 58.479, -3.0875495714917607 58.47887961816681, -3.0851227419495966 58.478519632010084, -3.0827428830686383 58.4779235083933, -3.0804329141908724 58.47709698831278, -3.07821508157935 58.47604803160871, -3.07611074417451 58.474786740307565, -3.0741401678959086 58.47332526133407, -3.072322330470336 58.47167766952966, -3.0706747386659314 58.46985983210409, -3.0692132596924364 58.46788925582549, -3.067951968391291 58.46578491842065, -3.066903011687218 58.463567085809125, -3.0660764916066947 58.461257116931364, -3.065480367989919 58.45887725805041, -3.065120381833195 58.45645042850824, -3.065 58.454))",35,1,2.06,2.06,ne-sw
3,3,00040,CASSLEY,cassley,sutherland,58.168,-4.727,99,1999,2020,4,"POLYGON ((-4.702 58.168, -4.702120381833195 58.16554957149176, -4.70248036798992 58.16312274194959, -4.703076491606695 58.160742883068636, -4.703903011687218 58.158432914190875, -4.704951968391291 58.15621508157935, -4.706213259692436 58.15411074417451, -4.707674738665932 58.15214016789591, -4.709322330470337 58.15032233047034, -4.711140167895909 58.14867473866593, -4.71311074417451 58.147213259692435, -4.71521508157935 58.14595196839129, -4.717432914190873 58.14490301168722, -4.719742883068639 58.1440764916067, -4.7221227419495975 58.143480367989916, -4.724549571491761 58.14312038183319, -4.727 58.143, -4.7294504285082395 58.14312038183319, -4.731877258050403 58.143480367989916, -4.734257116931362 58.1440764916067, -4.736567085809128 58.14490301168722, -4.7387849184206505 58.14595196839129, -4.740889255825491 58.147213259692435, -4.742859832104092 58.14867473866593, -4.744677669529664 58.15032233047034, -4.746325261334069 58.15214016789591, -4.747786740307564 58.15411074417451, -4.74904803160871 58.15621508157935, -4.750096988312783 58.158432914190875, -4.7509235083933055 58.160742883068636, -4.751519632010081 58.16312274194959, -4.7518796181668055 58.16554957149176, -4.752000000000001 58.168, -4.7518796181668055 58.17045042850824, -4.751519632010081 58.172877258050406, -4.7509235083933055 58.17525711693136, -4.750096988312783 58.17756708580912, -4.74904803160871 58.17978491842065, -4.747786740307564 58.18188925582549, -4.746325261334069 58.18385983210409, -4.744677669529664 58.18567766952966, -4.742859832104092 58.18732526133407, -4.740889255825491 58.18878674030756, -4.7387849184206505 58.19004803160871, -4.736567085809128 58.19109698831278, -4.734257116931362 58.1919235083933, -4.731877258050403 58.19251963201008, -4.7294504285082395 58.192879618166806, -4.727 58.193, -4.724549571491761 58.192879618166806, -4.7221227419495975 58.19251963201008, -4.719742883068639 58.1919235083933, -4.717432914190873 58.19109698831278, -4.71521508157935 58.19004803160871, -4.71311074417451 58.18878674030756, -4.711140167895909 58.18732526133407, -4.709322330470337 58.18567766952966, -4.707674738665932 58.18385983210409, -4.706213259692436 58.18188925582549, -4.704951968391291 58.17978491842065, -4.703903011687218 58.17756708580912, -4.703076491606695 58.17525711693136, -4.70248036798992 58.172877258050406, -4.702120381833195 58.17045042850824, -4.702 58.168))",106,7,-16.15,16.15,ne-sw
4,4,00044,ALTNAHARRA NO 2,altnaharra-no-2,sutherland,58.288,-4.442,81,1993,2020,4,"POLYGON ((-4.417 58.288, -4.417120381833195 58.28554957149176, -4.41748036798992 58.28312274194959, -4.418076491606695 58.28074288306863, -4.418903011687218 58.27843291419087, -4.419951968391291 58.276215081579345, -4.421213259692436 58.27411074417451, -4.422674738665932 58.272140167895905, -4.4243223304703365 58.270322330470336, -4.426140167895909 58.26867473866593, -4.42811074417451 58.26721325969243, -4.43021508157935 58.265951968391285, -4.432432914190873 58.26490301168722, -4.434742883068639 58.264076491606694, -4.437122741949597 58.263480367989914, -4.439549571491761 58.26312038183319, -4.442 58.263, -4.444450428508239 58.26312038183319, -4.446877258050403 58.263480367989914, -4.449257116931362 58.264076491606694, -4.451567085809128 58.26490301168722, -4.45378491842065 58.265951968391285, -4.455889255825491 58.26721325969243, -4.457859832104091 58.26867473866593, -4.459677669529664 58.270322330470336, -4.461325261334069 58.272140167895905, -4.462786740307564 58.27411074417451, -4.464048031608709 58.276215081579345, -4.465096988312783 58.27843291419087, -4.465923508393305 58.28074288306863, -4.466519632010081 58.28312274194959, -4.466879618166805 58.28554957149176, -4.4670000000000005 58.288, -4.466879618166805 58.29045042850824, -4.466519632010081 58.2928772580504, -4.465923508393305 58.29525711693136, -4.465096988312783 58.29756708580912, -4.464048031608709 58.29978491842065, -4.462786740307564 58.301889255825486, -4.461325261334069 58.30385983210409, -4.459677669529664 58.30567766952966, -4.457859832104091 58.307325261334064, -4.455889255825491 58.30878674030756, -4.45378491842065 58.31004803160871, -4.451567085809128 58.31109698831278, -4.449257116931362 58.3119235083933, -4.446877258050403 58.31251963201008, -4.444450428508239 58.312879618166804, -4.442 58.312999999999995, -4.439549571491761 58.312879618166804, -4.437122741949597 58.31251963201008, -4.434742883068639 58.3119235083933, -4.432432914190873 58.31109698831278, -4.43021508157935 58.31004803160871, -4.42811074417451 58.30878674030756, -4.426140167895909 58.307325261334064, -4.4243223304703365 58.30567766952966, -4.422674738665932 58.30385983210409, -4.421213259692436 58.301889255825486, -4.419951968391291 58.29978491842065, -4.418903011687218 58.29756708580912, -4.418076491606695 58.29525711693136, -4.41748036798992 58.2928772580504, -4.417120381833195 58.29045042850824, -4.417 58.288))",78,3,3.42,3.42,ns
5,5,00048,"KINBRACE, HATCHERY",kinbrace-hatchery,sutherland,58.23,-3.922,103,1999,2020,4,"POLYGON ((-3.8970000000000002 58.23, -3.8971203818331954 58.22754957149176, -3.8974803679899193 58.22512274194959, -3.898076491606695 58.22274288306863, -3.898903011687218 58.22043291419087, -3.8999519683912913 58.218215081579345, -3.9012132596924367 58.21611074417451, -3.9026747386659317 58.214140167895906, -3.9043223304703365 58.212322330470336, -3.906140167895909 58.21067473866593, -3.90811074417451 58.20921325969243, -3.9102150815793504 58.207951968391285, -3.9124329141908727 58.20690301168722, -3.9147428830686386 58.206076491606694, -3.917122741949597 58.205480367989914, -3.919549571491761 58.20512038183319, -3.922 58.205, -3.9244504285082393 58.20512038183319, -3.9268772580504034 58.205480367989914, -3.9292571169313617 58.206076491606694, -3.9315670858091276 58.20690301168722, -3.93378491842065 58.207951968391285, -3.93588925582549 58.20921325969243, -3.9378598321040914 58.21067473866593, -3.939677669529664 58.212322330470336, -3.9413252613340686 58.214140167895906, -3.9427867403075636 58.21611074417451, -3.944048031608709 58.218215081579345, -3.945096988312782 58.22043291419087, -3.9459235083933053 58.22274288306863, -3.946519632010081 58.22512274194959, -3.946879618166805 58.22754957149176, -3.947 58.23, -3.946879618166805 58.23245042850824, -3.946519632010081 58.2348772580504, -3.9459235083933053 58.23725711693136, -3.945096988312782 58.23956708580912, -3.944048031608709 58.24178491842065, -3.9427867403075636 58.243889255825486, -3.9413252613340686 58.24585983210409, -3.939677669529664 58.24767766952966, -3.9378598321040914 58.249325261334064, -3.93588925582549 58.25078674030756, -3.93378491842065 58.25204803160871, -3.9315670858091276 58.25309698831278, -3.9292571169313617 58.2539235083933, -3.9268772580504034 58.25451963201008, -3.9244504285082393 58.254879618166804, -3.922 58.254999999999995, -3.919549571491761 58.254879618166804, -3.917122741949597 58.25451963201008, -3.9147428830686386 58.2539235083933, -3.9124329141908727 58.25309698831278, -3.9102150815793504 58.25204803160871, -3.90811074417451 58.25078674030756, -3.906140167895909 58.249325261334064, -3.9043223304703365 58.24767766952966, -3.9026747386659317 58.24585983210409, -3.9012132596924367 58.243889255825486, -3.8999519683912913 58.24178491842065, -3.898903011687218 58.23956708580912, -3.898076491606695 58.23725711693136, -3.8974803679899193 58.2348772580504, -3.8971203818331954 58.23245042850824, -3.8970000000000002 58.23))",102,1,13.67,13.67,ne-sw
6,6,00052,AULTBEA NO 2,aultbea-no-2,ross-and-cromarty,57.859,-5.633,11,1990,2020,5,"POLYGON ((-5.608 57.859, -5.608120381833195 57.85654957149176, -5.60848036798992 57.854122741949595, -5.609076491606695 57.85174288306864, -5.6099030116872175 57.84943291419088, -5.610951968391291 57.84721508157935, -5.612213259692436 57.84511074417451, -5.613674738665932 57.84314016789591, -5.615322330470336 57.84132233047034, -5.617140167895909 57.839674738665934, -5.61911074417451 57.83821325969244, -5.62121508157935 57.83695196839129, -5.6234329141908725 57.83590301168722, -5.6257428830686385 57.8350764916067, -5.628122741949597 57.83448036798992, -5.630549571491761 57.834120381833195, -5.633 57.834, -5.635450428508239 57.834120381833195, -5.637877258050403 57.83448036798992, -5.640257116931362 57.8350764916067, -5.6425670858091275 57.83590301168722, -5.64478491842065 57.83695196839129, -5.64688925582549 57.83821325969244, -5.648859832104091 57.839674738665934, -5.650677669529664 57.84132233047034, -5.652325261334068 57.84314016789591, -5.653786740307564 57.84511074417451, -5.655048031608709 57.84721508157935, -5.6560969883127825 57.84943291419088, -5.656923508393305 57.85174288306864, -5.6575196320100805 57.854122741949595, -5.657879618166805 57.85654957149176, -5.658 57.859, -5.657879618166805 57.86145042850824, -5.6575196320100805 57.86387725805041, -5.656923508393305 57.866257116931365, -5.6560969883127825 57.868567085809126, -5.655048031608709 57.870784918420654, -5.653786740307564 57.87288925582549, -5.652325261334068 57.87485983210409, -5.650677669529664 57.87667766952966, -5.648859832104091 57.87832526133407, -5.64688925582549 57.879786740307566, -5.64478491842065 57.881048031608714, -5.6425670858091275 57.88209698831278, -5.640257116931362 57.882923508393304, -5.637877258050403 57.883519632010085, -5.635450428508239 57.88387961816681, -5.633 57.884, -5.630549571491761 57.88387961816681, -5.628122741949597 57.883519632010085, -5.6257428830686385 57.882923508393304, -5.6234329141908725 57.88209698831278, -5.62121508157935 57.881048031608714, -5.61911074417451 57.879786740307566, -5.617140167895909 57.87832526133407, -5.615322330470336 57.87667766952966, -5.613674738665932 57.87485983210409, -5.612213259692436 57.87288925582549, -5.610951968391291 57.870784918420654, -5.6099030116872175 57.868567085809126, -5.609076491606695 57.866257116931365, -5.60848036798992 57.86387725805041, -5.608120381833195 57.86145042850824, -5.608 57.859))",7,4,10.73,10.73,ne-sw
7,7,00054,STORNOWAY AIRPORT,stornoway-airport,western-isles,58.213,-6.319,15,1930,2020,5,"POLYGON ((-6.294 58.213, -6.294120381833195 58.21054957149176, -6.2944803679899195 58.208122741949595, -6.295076491606695 58.20574288306864, -6.295903011687217 58.20343291419088, -6.296951968391291 58.20121508157935, -6.298213259692436 58.19911074417451, -6.2996747386659315 58.19714016789591, -6.301322330470336 58.19532233047034, -6.303140167895909 58.19367473866593, -6.30511074417451 58.19221325969244, -6.30721508157935 58.19095196839129, -6.3094329141908725 58.18990301168722, -6.311742883068638 58.1890764916067, -6.314122741949597 58.18848036798992, -6.316549571491761 58.188120381833194, -6.319 58.188, -6.321450428508239 58.188120381833194, -6.323877258050403 58.18848036798992, -6.3262571169313615 58.1890764916067, -6.328567085809127 58.18990301168722, -6.33078491842065 58.19095196839129, -6.33288925582549 58.19221325969244, -6.334859832104091 58.19367473866593, -6.336677669529664 58.19532233047034, -6.338325261334068 58.19714016789591, -6.339786740307564 58.19911074417451, -6.341048031608709 58.20121508157935, -6.3420969883127825 58.20343291419088, -6.342923508393305 58.20574288306864, -6.34351963201008 58.208122741949595, -6.343879618166805 58.21054957149176, -6.344 58.213, -6.343879618166805 58.21545042850824, -6.34351963201008 58.21787725805041, -6.342923508393305 58.220257116931364, -6.3420969883127825 58.222567085809125, -6.341048031608709 58.22478491842065, -6.339786740307564 58.22688925582549, -6.338325261334068 58.22885983210409, -6.336677669529664 58.23067766952966, -6.334859832104091 58.23232526133407, -6.33288925582549 58.233786740307565, -6.33078491842065 58.23504803160871, -6.328567085809127 58.23609698831278, -6.3262571169313615 58.2369235083933, -6.323877258050403 58.237519632010084, -6.321450428508239 58.23787961816681, -6.319 58.238, -6.316549571491761 58.23787961816681, -6.314122741949597 58.237519632010084, -6.311742883068638 58.2369235083933, -6.3094329141908725 58.23609698831278, -6.30721508157935 58.23504803160871, -6.30511074417451 58.233786740307565, -6.303140167895909 58.23232526133407, -6.301322330470336 58.23067766952966, -6.2996747386659315 58.22885983210409, -6.298213259692436 58.22688925582549, -6.296951968391291 58.22478491842065, -6.295903011687217 58.222567085809125, -6.295076491606695 58.220257116931364, -6.2944803679899195 58.21787725805041, -6.294120381833195 58.21545042850824, -6.294 58.213))",13,2,-1.82,1.82,ew
8,8,00066,KINLOCHEWE,kinlochewe,ross-and-cromarty,57.613,-5.306,25,2005,2020,5,"POLYGON ((-5.281 57.613, -5.281120381833195 57.61054957149176, -5.28148036798992 57.60812274194959, -5.282076491606695 57.605742883068636, -5.2829030116872175 57.603432914190876, -5.283951968391291 57.60121508157935, -5.285213259692436 57.59911074417451, -5.286674738665932 57.59714016789591, -5.288322330470336 57.59532233047034, -5.290140167895909 57.59367473866593, -5.29211074417451 57.592213259692436, -5.29421508157935 57.59095196839129, -5.296432914190873 57.58990301168722, -5.2987428830686385 57.5890764916067, -5.301122741949597 57.588480367989916, -5.303549571491761 57.58812038183319, -5.306 57.588, -5.308450428508239 57.58812038183319, -5.310877258050403 57.588480367989916, -5.313257116931362 57.5890764916067, -5.3155670858091275 57.58990301168722, -5.31778491842065 57.59095196839129, -5.31988925582549 57.592213259692436, -5.321859832104091 57.59367473866593, -5.323677669529664 57.59532233047034, -5.3253252613340685 57.59714016789591, -5.326786740307564 57.59911074417451, -5.328048031608709 57.60121508157935, -5.329096988312783 57.603432914190876, -5.329923508393305 57.605742883068636, -5.3305196320100805 57.60812274194959, -5.330879618166805 57.61054957149176, -5.331 57.613, -5.330879618166805 57.61545042850824, -5.3305196320100805 57.617877258050406, -5.329923508393305 57.62025711693136, -5.329096988312783 57.62256708580912, -5.328048031608709 57.62478491842065, -5.326786740307564 57.62688925582549, -5.3253252613340685 57.62885983210409, -5.323677669529664 57.63067766952966, -5.321859832104091 57.63232526133407, -5.31988925582549 57.63378674030756, -5.31778491842065 57.63504803160871, -5.3155670858091275 57.63609698831278, -5.313257116931362 57.6369235083933, -5.310877258050403 57.63751963201008, -5.308450428508239 57.63787961816681, -5.306 57.638, -5.303549571491761 57.63787961816681, -5.301122741949597 57.63751963201008, -5.2987428830686385 57.6369235083933, -5.296432914190873 57.63609698831278, -5.29421508157935 57.63504803160871, -5.29211074417451 57.63378674030756, -5.290140167895909 57.63232526133407, -5.288322330470336 57.63067766952966, -5.286674738665932 57.62885983210409, -5.285213259692436 57.62688925582549, -5.283951968391291 57.62478491842065, -5.2829030116872175 57.62256708580912, -5.282076491606695 57.62025711693136, -5.28148036798992 57.617877258050406, -5.281120381833195 57.61545042850824, -5.281 57.613))",21,4,-4.93,4.93,ne-sw
9,9,00067,LOCH GLASCARNOCH,loch-glascarnoch,ross-and-cromarty,57.725,-4.895,269,1992,2020,4,"POLYGON ((-4.869999999999999 57.725, -4.870120381833194 57.72254957149176, -4.870480367989919 57.720122741949595, -4.871076491606694 57.71774288306864, -4.871903011687217 57.71543291419088, -4.87295196839129 57.71321508157935, -4.874213259692436 57.71111074417451, -4.875674738665931 57.70914016789591, -4.877322330470336 57.70732233047034, -4.879140167895908 57.705674738665934, -4.881110744174509 57.70421325969244, -4.883215081579349 57.70295196839129, -4.885432914190872 57.70190301168722, -4.887742883068638 57.7010764916067, -4.890122741949597 57.70048036798992, -4.89254957149176 57.700120381833194, -4.895 57.7, -4.897450428508239 57.700120381833194, -4.899877258050402 57.70048036798992, -4.902257116931361 57.7010764916067, -4.904567085809127 57.70190301168722, -4.90678491842065 57.70295196839129, -4.90888925582549 57.70421325969244, -4.910859832104091 57.705674738665934, -4.912677669529663 57.70732233047034, -4.914325261334068 57.70914016789591, -4.9157867403075635 57.71111074417451, -4.917048031608709 57.71321508157935, -4.918096988312782 57.71543291419088, -4.918923508393305 57.71774288306864, -4.91951963201008 57.720122741949595, -4.919879618166805 57.72254957149176, -4.92 57.725, -4.919879618166805 57.72745042850824, -4.91951963201008 57.72987725805041, -4.918923508393305 57.732257116931365, -4.918096988312782 57.734567085809125, -4.917048031608709 57.73678491842065, -4.9157867403075635 57.73888925582549, -4.914325261334068 57.74085983210409, -4.912677669529663 57.74267766952966, -4.910859832104091 57.74432526133407, -4.90888925582549 57.745786740307565, -4.90678491842065 57.74704803160871, -4.904567085809127 57.74809698831278, -4.902257116931361 57.748923508393304, -4.899877258050402 57.749519632010085, -4.897450428508239 57.74987961816681, -4.895 57.75, -4.89254957149176 57.74987961816681, -4.890122741949597 57.749519632010085, -4.887742883068638 57.748923508393304, -4.885432914190872 57.74809698831278, -4.883215081579349 57.74704803160871, -4.881110744174509 57.745786740307565, -4.879140167895908 57.74432526133407, -4.877322330470336 57.74267766952966, -4.875674738665931 57.74085983210409, -4.874213259692436 57.73888925582549, -4.87295196839129 57.73678491842065, -4.871903011687217 57.734567085809125, -4.871076491606694 57.732257116931365, -4.870480367989919 57.72987725805041, -4.870120381833194 57.72745042850824, -4.869999999999999 57.725))",266,3,3.82,3.82,nw-se
