ID,ID_TYPE,OB_DATE,VERSION_NUM,MET_DOMAIN_NAME ,OB_END_CTIME,OB_DAY_CNT,SRC_ID,REC_ST_IND,PRCP_AMT,OB_DAY_CNT_Q,PRCP_AMT_Q,METO_STMP_TIME,MIDAS_STMP_ETIME,PRCP_AMT_J
256225, RAIN, 1853-01-02 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-01-02 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.3, 0, 9, , ,
256225, RAIN, 1853-01-03 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-01-03 00:00, 1, DLY3208, 900, 1, 1530, 1001, .5, 0, 9, , ,
256225, RAIN, 1853-01-04 00:00, 1, DLY3208, 900, 1, 606, 1001, 2.9, 0, 9, , ,
947811, RAIN, 1853-01-04 00:00, 1, DLY3208, 900, 1, 1530, 1001, 5.6, 0, 9, , ,
256225, RAIN, 1853-01-05 00:00, 1, DLY3208, 900, 1, 606, 1001, .2, 0, 9, , ,
947811, RAIN, 1853-01-05 00:00, 1, DLY3208, 900, 1, 1530, 1001, 3, 0, 9, , ,
256225, RAIN, 1853-01-06 00:00, 1, DLY3208, 900, 1, 606, 1001, .9, 0, 9, , ,
947811, RAIN, 1853-01-06 00:00, 1, DLY3208, 900, 1, 1530, 1001, 7.6, 0, 9, , ,
256225, RAIN, 1853-01-07 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-01-07 00:00, 1, DLY3208, 900, 1, 1530, 1001, 4.6, 0, 9, , ,
256225, RAIN, 1853-01-08 00:00, 1, DLY3208, 900, 1, 606, 1001, 6.6, 0, 9, , ,
947811, RAIN, 1853-01-08 00:00, 1, DLY3208, 900, 1, 1530, 1001, 3.3, 0, 9, , ,
256225, RAIN, 1853-01-09 00:00, 1, DLY3208, 900, 1, 606, 1001, 3.1, 0, 9, , ,
947811, RAIN, 1853-01-09 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-01-10 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-01-10 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-01-11 00:00, 1, DLY3208, 900, 1, 606, 1001, .6, 0, 9, , ,
947811, RAIN, 1853-01-11 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-01-12 00:00, 1, DLY3208, 900, 1, 606, 1001, 4.4, 0, 9, , ,
947811, RAIN, 1853-01-12 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.5, 0, 9, , ,
256225, RAIN, 1853-01-13 00:00, 1, DLY3208, 900, 1, 606, 1001, 9.4, 0, 9, , ,
947811, RAIN, 1853-01-13 00:00, 1, DLY3208, 900, 1, 1530, 1001, 4.8, 0, 9, , ,
256225, RAIN, 1853-01-14 00:00, 1, DLY3208, 900, 1, 606, 1001, 2.9, 0, 9, , ,
947811, RAIN, 1853-01-14 00:00, 1, DLY3208, 900, 1, 1530, 1001, .8, 0, 9, , ,
256225, RAIN, 1853-01-15 00:00, 1, DLY3208, 900, 1, 606, 1001, .9, 0, 9, , ,
947811, RAIN, 1853-01-15 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-01-16 00:00, 1, DLY3208, 900, 1, 606, 1001, 5.3, 0, 9, , ,
947811, RAIN, 1853-01-16 00:00, 1, DLY3208, 900, 1, 1530, 1001, 6.9, 0, 9, , ,
256225, RAIN, 1853-01-17 00:00, 1, DLY3208, 900, 1, 606, 1001, .5, 0, 9, , ,
947811, RAIN, 1853-01-17 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-01-18 00:00, 1, DLY3208, 900, 1, 606, 1001, 5.2, 0, 9, , ,
947811, RAIN, 1853-01-18 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-01-19 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-01-19 00:00, 1, DLY3208, 900, 1, 1530, 1001, 5.1, 0, 9, , ,
256225, RAIN, 1853-01-20 00:00, 1, DLY3208, 900, 1, 606, 1001, 1.1, 0, 9, , ,
947811, RAIN, 1853-01-20 00:00, 1, DLY3208, 900, 1, 1530, 1001, 3.8, 0, 9, , ,
256225, RAIN, 1853-01-21 00:00, 1, DLY3208, 900, 1, 606, 1001, 6.9, 0, 9, , ,
947811, RAIN, 1853-01-21 00:00, 1, DLY3208, 900, 1, 1530, 1001, 4.3, 0, 9, , ,
256225, RAIN, 1853-01-22 00:00, 1, DLY3208, 900, 1, 606, 1001, .8, 0, 9, , ,
947811, RAIN, 1853-01-22 00:00, 1, DLY3208, 900, 1, 1530, 1001, .8, 0, 9, , ,
256225, RAIN, 1853-01-23 00:00, 1, DLY3208, 900, 1, 606, 1001, 2, 0, 9, , ,
947811, RAIN, 1853-01-23 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-01-24 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-01-24 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-01-25 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-01-25 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-01-26 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-01-26 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-01-27 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-01-27 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-01-28 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-01-28 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-01-29 00:00, 1, DLY3208, 900, 1, 606, 1001, 2.3, 0, 9, , ,
947811, RAIN, 1853-01-29 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-01-30 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-01-30 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-01-31 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-01-31 00:00, 1, DLY3208, 900, 1, 1530, 1001, 2.5, 0, 9, , ,
256225, RAIN, 1853-02-01 00:00, 1, DLY3208, 900, 1, 606, 1001, 6.8, 0, 9, , ,
947811, RAIN, 1853-02-01 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-02-02 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-02 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1, 0, 9, , ,
256225, RAIN, 1853-02-03 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-03 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-02-04 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-04 00:00, 1, DLY3208, 900, 1, 1530, 1001, 11.4, 0, 9, , ,
256225, RAIN, 1853-02-05 00:00, 1, DLY3208, 900, 1, 606, 1001, .4, 0, 9, , ,
947811, RAIN, 1853-02-05 00:00, 1, DLY3208, 900, 1, 1530, 1001, .3, 0, 9, , ,
256225, RAIN, 1853-02-06 00:00, 1, DLY3208, 900, 1, 606, 1001, 5.4, 0, 9, , ,
947811, RAIN, 1853-02-06 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-07 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-07 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-08 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-08 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-09 00:00, 1, DLY3208, 900, 1, 606, 1001, 12.2, 0, 9, , ,
947811, RAIN, 1853-02-09 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-10 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-10 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-11 00:00, 1, DLY3208, 900, 1, 606, 1001, 1.3, 0, 9, , ,
947811, RAIN, 1853-02-11 00:00, 1, DLY3208, 900, 1, 1530, 1001, 13, 0, 9, , ,
256225, RAIN, 1853-02-12 00:00, 1, DLY3208, 900, 1, 606, 1001, 1.1, 0, 9, , ,
947811, RAIN, 1853-02-12 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-13 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-13 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-14 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-14 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-15 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-15 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-16 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-16 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-17 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-17 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-18 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-18 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-19 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-19 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-20 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-20 00:00, 1, DLY3208, 900, 1, 1530, 1001, 3.6, 0, 9, , ,
256225, RAIN, 1853-02-21 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-21 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-22 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-22 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-02-23 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-02-23 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.3, 0, 9, , ,
