station_latitude,station_longitude,distance
57.687,-4.167,2.036227344130836
57.703,-4.158,2.036227344130836
57.006,-3.398,0.5665222605012272
57.011,-3.397,0.5665222605012272
57.187,-2.215,2.287310726468455
57.205,-2.205,2.287310726468455
55.951,-3.348,2.5940010236955477
55.928,-3.344,2.5940010236955477
51.724,-0.544,3.9429171332726454
51.69,-0.534,3.9429171332726454
51.537,0.807,2.9841070147944846
51.555,0.827,2.9841070147944846
53.613,-1.665,0.3498907285153821
53.612,-1.668,0.3498907285153821
52.454,-1.924,0.4951198505986686
52.456,-1.928,0.4951198505986686
51.858,-2.218,4.403739872693748
51.891,-2.196,4.403739872693748
51.505,-0.131,2.827562342527144
51.522,-0.112,2.827562342527144
51.48,-0.004,0.24858557160681416
51.478,-0.003,0.24858557160681416
51.468,-0.316,2.8890277212214066
51.482,-0.294,2.8890277212214066
51.152,-0.193,4.0790744548487465
51.144,-0.229,4.0790744548487465
51.197,0.636,1.4914412683096763
51.185,0.63,1.4914412683096763
51.347,1.335,1.5414156205173541
51.352,1.348,1.5414156205173541
50.865,0.336,3.5763909555001963
50.891,0.317,3.5763909555001963
50.905,-1.405,0.4586730452574347
50.901,-1.404,0.4586730452574347
55.749,-4.908,3.326813847649841
55.723,-4.893,3.326813847649841
55.867,-4.386,4.98108653833217
55.869,-4.431,4.98108653833217
55.477,-4.565,3.392211622005851
55.501,-4.584,3.392211622005851
55.477,-4.565,4.761543104928747
55.515,-4.585,4.761543104928747
55.501,-4.584,1.557450500589388
55.515,-4.585,1.557450500589388
52.383,-3.534,3.4921573777315054
52.389,-3.503,3.4921573777315054
51.478,-3.179,1.5678482986517763
51.488,-3.189,1.5678482986517763
50.566,-2.45,4.9383692520306885
50.522,-2.456,4.9383692520306885
50.514,-2.457,0.8965878458978724
50.522,-2.456,0.8965878458978724
51.02,-4.524,3.7858737826084905
51.016,-4.49,3.7858737826084905
50.991,-4.462,4.157528502151836
51.016,-4.49,4.157528502151836
50.896,-3.812,1.5673390529849012
50.906,-3.802,1.5673390529849012
50.731,-3.417,1.3871107436136518
50.737,-3.406,1.3871107436136518
49.929,-6.303,1.731773752278628
49.915,-6.296,1.731773752278628
54.422,-8.087,4.349715056850947
54.44,-8.052,4.349715056850947
54.151,-7.575,4.47023603133307
54.189,-7.561,4.47023603133307
