,level_0,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,geometry,BASIN_ID,raster_id,rivers_in_watershed_df,closest_point_on_river,distance_closest_point_on_river,height_closest_point_on_river,diff_closest_point_on_river,abs_diff_closest_point_on_river
0,0,23,KIRKWALL,kirkwall,orkney,58.953,-2.901,26,1957,2020,POINT (-2.901 58.953),6316,4,,,,,,
1,1,32,WICK AIRPORT,wick-airport,caithness,58.454,-3.09,36,1930,2020,POINT (-3.09 58.454),12697,4,"     index  ARCID  UP_CELLS  \
59      59  15829       515   
63      63  15988       870   
64      64  15989      1646   
65      65  15990       154   
74      74  16148      1918   
83      83  16281      2391   
84      84  16282      2658   
89      89  16352       363   
97      97  16563       481   
107    107  16793       202   
110    110  16842       165   
111    111  16877       377   
115    115  16957       239   

                                              geometry  index_right  BASIN_ID  \
59   LINESTRING (-3.40000 58.51875, -3.38542 58.518...            4     12697   
63   LINESTRING (-3.30208 58.46458, -3.29375 58.472...            4     12697   
64   LINESTRING (-3.29375 58.47708, -3.26875 58.477...            4     12697   
65   LINESTRING (-3.21667 58.49167, -3.22292 58.485...            4     12697   
74   LINESTRING (-3.21042 58.46458, -3.20625 58.464...            4     12697   
83   LINESTRING (-3.15208 58.45208, -3.14792 58.456...            4     12697   
84   LINESTRING (-3.10625 58.44375, -3.08125 58.44375)            4     12697   
89   LINESTRING (-3.37917 58.44583, -3.37292 58.439...            4     12697   
97   LINESTRING (-3.31458 58.42292, -3.31042 58.422...            4     12697   
107  LINESTRING (-3.34583 58.40417, -3.33542 58.414...            4     12697   
110  LINESTRING (-3.29583 58.40000, -3.31458 58.418...            4     12697   
111  LINESTRING (-3.23750 58.39583, -3.24375 58.402...            4     12697   
115  LINESTRING (-3.15833 58.39375, -3.14375 58.393...            4     12697   

     AREA_SQKM  
59       298.9  
63       298.9  
64       298.9  
65       298.9  
74       298.9  
83       298.9  
84       298.9  
89       298.9  
97       298.9  
107      298.9  
110      298.9  
111      298.9  
115      298.9  ",POINT (-3.09 58.443749999999255),595.8949046415262,17.0,19.0,19.0
2,2,40,CASSLEY,cassley,sutherland,58.168,-4.727,99,1999,2020,POINT (-4.727 58.168),22127,4,"     index  ARCID  UP_CELLS  \
212    212  19258       100   
213    213  19259       382   
221    221  19390       117   
222    222  19391       304   
226    226  19552       207   
..     ...    ...       ...   
371    371  22798       104   
372    372  22799     10879   
374    374  23122       193   
375    375  23123     11098   
386    386  23489       358   

                                              geometry  index_right  BASIN_ID  \
212  LINESTRING (-4.74583 58.20625, -4.73958 58.20625)           11     22127   
213  LINESTRING (-4.74583 58.26667, -4.75208 58.260...           11     22127   
221  LINESTRING (-4.65417 58.19375, -4.63125 58.19375)           11     22127   
222  LINESTRING (-4.65833 58.23125, -4.65208 58.231...           11     22127   
226  LINESTRING (-4.77917 58.18542, -4.76458 58.185...           11     22127   
..                                                 ...          ...       ...   
371  LINESTRING (-4.40000 57.91458, -4.39375 57.91458)           11     22127   
372  LINESTRING (-4.41458 57.93958, -4.41458 57.935...           11     22127   
374  LINESTRING (-4.81875 57.88750, -4.81875 57.893...           11     22127   
375  LINESTRING (-4.39375 57.91458, -4.38958 57.910...           11     22127   
386  LINESTRING (-4.86250 57.85833, -4.86875 57.864...           11     22127   

     AREA_SQKM  
212     1260.7  
213     1260.7  
221     1260.7  
222     1260.7  
226     1260.7  
..         ...  
371     1260.7  
372     1260.7  
374     1260.7  
375     1260.7  
386     1260.7  

[62 rows x 7 columns]",POINT (-4.727 58.17291666666593),288.1563153561686,92.0,7.0,7.0
3,3,44,ALTNAHARRA NO 2,altnaharra-no-2,sutherland,58.288,-4.442,81,1993,2020,POINT (-4.442 58.288),11604,4,"     index  ARCID  UP_CELLS  \
53      53  15714      4613   
94      94  16405       253   
128    128  17258       275   
129    129  17259      4214   
146    146  17872      3415   
153    153  17955       112   
154    154  17956      2131   
155    155  17957      3073   
156    156  17992       166   
160    160  18089       930   
167    167  18241       121   
170    170  18297       163   
171    171  18298       451   
172    172  18299       355   
173    173  18300      1156   
174    174  18301      1892   
178    178  18429       246   
180    180  18484       106   
189    189  18632       124   
208    208  19151       793   
210    210  19207       104   
214    214  19260       345   
215    215  19261       175   

                                              geometry  index_right  BASIN_ID  \
53   LINESTRING (-4.20625 58.48542, -4.21042 58.489...            3     11604   
94   LINESTRING (-4.13125 58.43333, -4.13125 58.439...            3     11604   
128  LINESTRING (-4.29583 58.37500, -4.28958 58.368...            3     11604   
129  LINESTRING (-4.23125 58.36875, -4.22292 58.377...            3     11604   
146  LINESTRING (-4.25625 58.31875, -4.25625 58.331...            3     11604   
153  LINESTRING (-4.33333 58.32083, -4.32708 58.314...            3     11604   
154  LINESTRING (-4.32708 58.31042, -4.29792 58.310...            3     11604   
155  LINESTRING (-4.26458 58.31042, -4.25625 58.31875)            3     11604   
156  LINESTRING (-4.21250 58.30625, -4.21875 58.306...            3     11604   
160  LINESTRING (-4.26042 58.29792, -4.26042 58.302...            3     11604   
167  LINESTRING (-4.27917 58.28542, -4.26875 58.285...            3     11604   
170  LINESTRING (-4.60000 58.28542, -4.54792 58.285...            3     11604   
171  LINESTRING (-4.53958 58.28125, -4.51875 58.28125)            3     11604   
172  LINESTRING (-4.55625 58.33750, -4.55625 58.331...            3     11604   
173  LINESTRING (-4.51875 58.28125, -4.49792 58.281...            3     11604   
174  LINESTRING (-4.42708 58.28125, -4.39375 58.281...            3     11604   
178  LINESTRING (-4.54792 58.27292, -4.53958 58.28125)            3     11604   
180  LINESTRING (-4.55833 58.26667, -4.55208 58.272...            3     11604   
189  LINESTRING (-4.54792 58.25417, -4.54792 58.27292)            3     11604   
208  LINESTRING (-4.35208 58.21458, -4.34792 58.214...            3     11604   
210  LINESTRING (-4.35208 58.20833, -4.35208 58.21458)            3     11604   
214  LINESTRING (-4.50833 58.20625, -4.50208 58.206...            3     11604   
215  LINESTRING (-4.39167 58.20625, -4.38542 58.206...            3     11604   

     AREA_SQKM  
53       520.8  
94       520.8  
128      520.8  
129      520.8  
146      520.8  
153      520.8  
154      520.8  
155      520.8  
156      520.8  
160      520.8  
167      520.8  
170      520.8  
171      520.8  
172      520.8  
173      520.8  
174      520.8  
178      520.8  
180      520.8  
189      520.8  
208      520.8  
210      520.8  
214      520.8  
215      520.8  ",POINT (-4.442083333333781 58.28791666666621),6.883709235142975,78.0,3.0,3.0
4,4,48,"KINBRACE, HATCHERY",kinbrace-hatchery,sutherland,58.23,-3.922,103,1999,2020,POINT (-3.922 58.23),18745,4,"     index  ARCID  UP_CELLS  \
147    147  17873       148   
148    148  17874       119   
164    164  18195       325   
165    165  18196       759   
166    166  18197       161   
168    168  18242       272   
169    169  18243       208   
182    182  18538       295   
183    183  18539       396   
184    184  18540       592   
194    194  18734      1386   
195    195  18735      1022   
202    202  19001      2506   
203    203  19002       147   
207    207  19099      2665   
209    209  19152       598   
211    211  19208       101   
216    216  19262       171   
217    217  19263       494   
219    219  19355      3337   
220    220  19356       190   
223    223  19392       113   
234    234  19752      3669   
235    235  19753       166   
239    239  19834      3847   
243    243  19895       198   
244    244  19896       104   
249    249  19992       523   
250    250  19993      4639   
251    251  19994       105   
276    276  20375      5095   

                                              geometry  index_right  BASIN_ID  \
147  LINESTRING (-4.17292 58.35000, -4.17292 58.339...            8     18745   
148  LINESTRING (-4.15208 58.33333, -4.15208 58.327...            8     18745   
164  LINESTRING (-4.16042 58.31875, -4.15625 58.314...            8     18745   
165  LINESTRING (-4.14792 58.28958, -4.11042 58.28958)            8     18745   
166  LINESTRING (-4.10625 58.31667, -4.10625 58.310...            8     18745   
168  LINESTRING (-3.94792 58.32500, -3.94792 58.318...            8     18745   
169  LINESTRING (-3.89167 58.30417, -3.90625 58.289...            8     18745   
182  LINESTRING (-4.19583 58.26250, -4.18958 58.268...            8     18745   
183  LINESTRING (-4.02917 58.34167, -4.02292 58.335...            8     18745   
184  LINESTRING (-3.92708 58.28542, -3.92708 58.281...            8     18745   
194  LINESTRING (-4.11042 58.28958, -4.10208 58.289...            8     18745   
195  LINESTRING (-3.94375 58.26458, -3.94375 58.260...            8     18745   
202  LINESTRING (-3.96042 58.24792, -3.95208 58.239...            8     18745   
203  LINESTRING (-3.87083 58.24583, -3.88542 58.231...            8     18745   
207  LINESTRING (-3.92292 58.22708, -3.92292 58.21875)            8     18745   
209  LINESTRING (-3.92708 58.21458, -3.92292 58.21875)            8     18745   
211  LINESTRING (-3.93333 58.20833, -3.92708 58.21458)            8     18745   
216  LINESTRING (-4.07917 58.20625, -4.06875 58.206...            8     18745   
217  LINESTRING (-4.02708 58.20625, -4.01875 58.214...            8     18745   
219  LINESTRING (-3.92292 58.21875, -3.91458 58.210...            8     18745   
220  LINESTRING (-3.84167 58.21875, -3.86458 58.218...            8     18745   
223  LINESTRING (-4.01250 58.19167, -4.02708 58.20625)            8     18745   
234  LINESTRING (-3.87708 58.19792, -3.87292 58.193...            8     18745   
235  LINESTRING (-3.82500 58.19583, -3.83125 58.189...            8     18745   
239  LINESTRING (-3.85208 58.16458, -3.84792 58.160...            8     18745   
243  LINESTRING (-3.98333 58.15625, -3.96458 58.156...            8     18745   
244  LINESTRING (-3.93333 58.15000, -3.92708 58.15625)            8     18745   
249  LINESTRING (-3.92708 58.15625, -3.91458 58.156...            8     18745   
250  LINESTRING (-3.83958 58.15625, -3.83125 58.156...            8     18745   
251  LINESTRING (-3.75208 58.15000, -3.75208 58.14375)            8     18745   
276  LINESTRING (-3.75208 58.14375, -3.70625 58.143...            8     18745   

     AREA_SQKM  
147      575.9  
148      575.9  
164      575.9  
165      575.9  
166      575.9  
168      575.9  
169      575.9  
182      575.9  
183      575.9  
184      575.9  
194      575.9  
195      575.9  
202      575.9  
203      575.9  
207      575.9  
209      575.9  
211      575.9  
216      575.9  
217      575.9  
219      575.9  
220      575.9  
223      575.9  
234      575.9  
235      575.9  
239      575.9  
243      575.9  
244      575.9  
249      575.9  
250      575.9  
251      575.9  
276      575.9  ",POINT (-3.923916666667116 58.22808333333288),158.58461022278985,96.0,7.0,7.0
5,5,52,AULTBEA NO 2,aultbea-no-2,ross-and-cromarty,57.859,-5.633,11,1990,2020,POINT (-5.633 57.859),23127,5,,,,,,
6,6,54,STORNOWAY AIRPORT,stornoway-airport,western-isles,58.213,-6.319,15,1930,2020,POINT (-6.319 58.213),17189,5,,,,,,
7,7,66,KINLOCHEWE,kinlochewe,ross-and-cromarty,57.613,-5.306,25,2005,2020,POINT (-5.306 57.613),24943,5,"     index  ARCID  UP_CELLS  \
415    415  24775      3664   
416    416  24821       100   
433    433  25206      3552   
451    451  25829      2964   
452    452  25830       133   
461    461  25977      2496   
490    490  26388       166   
491    491  26389       373   
496    496  26436       456   
497    497  26437       333   
498    498  26438       584   
500    500  26556       285   
511    511  26629      2191   
520    520  26736      1150   
552    552  27260       117   
553    553  27261       641   
614    614  27894       343   

                                              geometry  index_right  BASIN_ID  \
415  LINESTRING (-5.59375 57.75625, -5.60208 57.764...           16     24943   
416  LINESTRING (-5.59375 57.75000, -5.59375 57.75625)           16     24943   
433  LINESTRING (-5.54375 57.72292, -5.55208 57.731...           16     24943   
451  LINESTRING (-5.42292 57.67292, -5.43125 57.672...           16     24943   
452  LINESTRING (-5.40000 57.68125, -5.41458 57.681...           16     24943   
461  LINESTRING (-5.40208 57.66042, -5.40625 57.664...           16     24943   
490  LINESTRING (-5.21458 57.67083, -5.21458 57.656...           16     24943   
491  LINESTRING (-5.10833 57.63125, -5.20208 57.63125)           16     24943   
496  LINESTRING (-5.48542 57.62500, -5.48542 57.635...           16     24943   
497  LINESTRING (-5.32500 57.69375, -5.31875 57.693...           16     24943   
498  LINESTRING (-5.20208 57.63125, -5.20625 57.631...           16     24943   
500  LINESTRING (-5.42292 57.61667, -5.42292 57.627...           16     24943   
511  LINESTRING (-5.30208 57.61458, -5.30625 57.618...           16     24943   
520  LINESTRING (-5.22292 57.62708, -5.23125 57.627...           16     24943   
552  LINESTRING (-5.35833 57.56458, -5.33958 57.56458)           16     24943   
553  LINESTRING (-5.33958 57.56458, -5.33125 57.572...           16     24943   
614  LINESTRING (-5.31667 57.51667, -5.31042 57.522...           16     24943   

     AREA_SQKM  
415      421.1  
416      421.1  
433      421.1  
451      421.1  
452      421.1  
461      421.1  
490      421.1  
491      421.1  
496      421.1  
497      421.1  
498      421.1  
500      421.1  
511      421.1  
520      421.1  
552      421.1  
553      421.1  
614      421.1  ",POINT (-5.3032500000004354 57.615749999999565),231.4776375709302,18.0,7.0,7.0
8,8,67,LOCH GLASCARNOCH,loch-glascarnoch,ross-and-cromarty,57.725,-4.895,269,1992,2020,POINT (-4.895 57.725),29318,4,"     index  ARCID  UP_CELLS  \
420    420  24946       125   
421    421  24947       166   
436    436  25514       475   
437    437  25557       786   
440    440  25660      1373   
441    441  25661       346   
453    453  25831      1765   
454    454  25832       144   
462    462  25978       173   
463    463  25979       101   
474    474  26226       467   
475    475  26227       118   
501    501  26557      1188   
502    502  26558      3151   
503    503  26559       107   
504    504  26560       102   
505    505  26561      2156   
524    524  26856       109   
530    530  26904      2450   
539    539  27018       333   
540    540  27072       115   
541    541  27073      3373   
546    546  27112      1678   
548    548  27170      3492   
550    550  27224       473   
557    557  27349       321   
559    559  27399      5343   
560    560  27400      2704   
568    568  27467       186   
569    569  27468       104   
570    570  27469      8205   
571    571  27470      9755   
600    600  27784       159   
601    601  27785      1572   
602    602  27786      1495   
603    603  27787       118   
635    635  28192       250   
652    652  28434       873   
664    664  28569      1195   

                                              geometry  index_right  BASIN_ID  \
420  LINESTRING (-4.91667 57.75833, -4.91042 57.752...           24     29318   
421  LINESTRING (-4.88958 57.77083, -4.88958 57.752...           24     29318   
436  LINESTRING (-4.78125 57.78333, -4.78125 57.768...           24     29318   
437  LINESTRING (-4.88958 57.74375, -4.88958 57.739...           24     29318   
440  LINESTRING (-4.73542 57.69792, -4.71875 57.697...           24     29318   
441  LINESTRING (-4.72917 57.73750, -4.72292 57.731...           24     29318   
453  LINESTRING (-4.68542 57.68542, -4.67708 57.685...           24     29318   
454  LINESTRING (-4.64583 57.67292, -4.66458 57.67292)           24     29318   
462  LINESTRING (-5.13750 57.66042, -5.08542 57.66042)           24     29318   
463  LINESTRING (-5.08542 57.66667, -5.08542 57.66042)           24     29318   
474  LINESTRING (-5.08542 57.66042, -5.08125 57.660...           24     29318   
475  LINESTRING (-5.01042 57.65417, -5.01042 57.64375)           24     29318   
501  LINESTRING (-5.01042 57.64375, -5.00625 57.639...           24     29318   
502  LINESTRING (-4.83125 57.61875, -4.75625 57.61875)           24     29318   
503  LINESTRING (-4.75625 57.63333, -4.75625 57.61875)           24     29318   
504  LINESTRING (-4.68750 57.61875, -4.68125 57.61875)           24     29318   
505  LINESTRING (-4.66458 57.67292, -4.66458 57.668...           24     29318   
524  LINESTRING (-4.60000 57.60417, -4.60625 57.59792)           24     29318   
530  LINESTRING (-4.68125 57.61875, -4.67708 57.614...           24     29318   
539  LINESTRING (-4.53333 57.59375, -4.51875 57.593...           24     29318   
540  LINESTRING (-4.72083 57.58125, -4.69792 57.58125)           24     29318   
541  LINESTRING (-4.75625 57.61875, -4.73542 57.618...           24     29318   
546  LINESTRING (-5.08125 57.57708, -5.06042 57.577...           24     29318   
548  LINESTRING (-4.69792 57.58125, -4.68958 57.57292)           24     29318   
550  LINESTRING (-5.23750 57.56875, -5.18958 57.568...           24     29318   
557  LINESTRING (-5.09375 57.55625, -5.08125 57.568...           24     29318   
559  LINESTRING (-4.68958 57.57292, -4.68542 57.572...           24     29318   
560  LINESTRING (-4.60625 57.59792, -4.60208 57.593...           24     29318   
568  LINESTRING (-5.12500 57.54792, -5.11042 57.547...           24     29318   
569  LINESTRING (-5.08750 57.54583, -5.09375 57.552...           24     29318   
570  LINESTRING (-4.57292 57.55208, -4.56875 57.552...           24     29318   
571  LINESTRING (-4.49792 57.54792, -4.46458 57.54792)           24     29318   
600  LINESTRING (-4.92500 57.53958, -4.90625 57.539...           24     29318   
601  LINESTRING (-4.87292 57.52708, -4.86875 57.531...           24     29318   
602  LINESTRING (-4.54375 57.52708, -4.53958 57.531...           24     29318   
603  LINESTRING (-4.47500 57.52500, -4.46458 57.535...           24     29318   
635  LINESTRING (-4.64583 57.49792, -4.61042 57.497...           24     29318   
652  LINESTRING (-5.14167 57.47917, -5.13542 57.485...           24     29318   
664  LINESTRING (-4.97083 57.47292, -4.93958 57.472...           24     29318   

     AREA_SQKM  
420     1200.4  
421     1200.4  
436     1200.4  
437     1200.4  
440     1200.4  
441     1200.4  
453     1200.4  
454     1200.4  
462     1200.4  
463     1200.4  
474     1200.4  
475     1200.4  
501     1200.4  
502     1200.4  
503     1200.4  
504     1200.4  
505     1200.4  
524     1200.4  
530     1200.4  
539     1200.4  
540     1200.4  
541     1200.4  
546     1200.4  
548     1200.4  
550     1200.4  
557     1200.4  
559     1200.4  
560     1200.4  
568     1200.4  
569     1200.4  
570     1200.4  
571     1200.4  
600     1200.4  
601     1200.4  
602     1200.4  
603     1200.4  
635     1200.4  
652     1200.4  
664     1200.4  ",POINT (-4.885000000000443 57.73499999999956),839.141219697615,267.0,2.0,2.0
9,9,79,TAIN RANGE,tain-range,ross-and-cromarty,57.819,-3.967,4,1990,2020,POINT (-3.967 57.819),24238,4,,,,,,
