,src_id,slope_steepness_13px,abs_slope_steepness_13px
0,00003,13.0,13.0
1,00023,-5.58,5.58
2,00032,1.9,1.9
3,00040,-12.61,12.61
4,00044,5.18,5.18
5,00048,10.42,10.42
6,00052,10.96,10.96
7,00054,-1.03,1.03
8,00066,16.85,16.85
9,00067,-6.39,6.39
10,00079,0.16,0.16
11,00105,-9.01,9.01
12,00110,-21.36,21.36
13,00111,2.69,2.69
14,00113,13.88,13.88
15,00114,-15.76,15.76
16,00132,0.48,0.48
17,00137,-0.89,0.89
18,00148,8.81,8.81
19,00150,1.91,1.91
20,00159,-3.13,3.13
21,00160,-6.46,6.46
22,00161,-3.67,3.67
23,00177,7.54,7.54
24,00195,7.03,7.03
25,00212,-1.09,1.09
26,00235,0.8,0.8
27,00253,-2.16,2.16
28,00268,3.83,3.83
29,00289,10.45,10.45
30,00310,-2.35,2.35
31,00315,2.06,2.06
32,00326,-3.37,3.37
33,00339,-6.74,6.74
34,16725,-0.22,0.22
35,00358,-4.3,4.3
36,00360,-6.14,6.14
37,00367,4.72,4.72
38,00370,-1.03,1.03
39,00373,5.52,5.52
40,00381,0.87,0.87
41,00382,1.89,1.89
42,00384,0.94,0.94
43,00386,1.29,1.29
44,00393,0.43,0.43
45,00395,-0.14,0.14
46,00409,-0.43,0.43
47,00413,1.49,1.49
48,00421,-5.59,5.59
49,24996,2.6,2.6
50,00426,-6.89,6.89
51,00435,-2.05,2.05
52,00436,2.46,2.46
53,00440,-0.63,0.63
54,00442,-0.85,0.85
55,00455,0.56,0.56
56,00456,-2.62,2.62
57,00458,-3.65,3.65
58,00461,0.71,0.71
59,16851,-0.79,0.79
60,00471,2.1,2.1
61,00481,3.06,3.06
62,00487,-1.6,1.6
63,00498,0.23,0.23
64,00513,-3.88,3.88
65,00516,6.15,6.15
66,00525,6.59,6.59
67,00529,-3.06,3.06
68,00534,-1.83,1.83
69,00542,0.5,0.5
70,00554,-1.86,1.86
71,00556,2.23,2.23
72,00583,2.92,2.92
73,00595,0.64,0.64
74,00596,0.42,0.42
75,00605,1.47,1.47
76,00607,2.95,2.95
77,00613,1.39,1.39
78,00622,4.23,4.23
79,00634,-16.71,16.71
80,00643,2.21,2.21
81,00651,0.79,0.79
82,00657,-0.77,0.77
83,00658,-0.98,0.98
84,00660,1.55,1.55
85,00669,3.95,3.95
86,00671,-7.07,7.07
87,00691,2.64,2.64
88,00692,3.78,3.78
89,00697,2.22,2.22
90,00708,-0.28,0.28
91,00709,0.63,0.63
92,00719,-1.11,1.11
93,00723,0.42,0.42
94,00726,-6.15,6.15
95,00742,-4.95,4.95
96,00744,-4.35,4.35
97,00775,1.38,1.38
98,00779,-0.27,0.27
99,00795,3.21,3.21
100,00811,2.33,2.33
101,00830,-2.01,2.01
102,00842,0.34,0.34
103,00847,2.2,2.2
104,00855,3.02,3.02
105,00862,-0.97,0.97
106,00868,2.48,2.48
107,00869,-1.24,1.24
108,00876,21.32,21.32
109,00886,4.37,4.37
110,00888,1.59,1.59
111,00889,-1.79,1.79
112,00908,1.22,1.22
113,00918,-13.26,13.26
114,17314,-0.81,0.81
115,00940,10.42,10.42
116,00982,-4.62,4.62
117,00987,-10.33,10.33
118,01005,-1.98,1.98
119,01007,2.44,2.44
120,01023,6.53,6.53
121,01033,3.67,3.67
122,01035,-2.56,2.56
123,01039,-0.9,0.9
124,01055,-9.13,9.13
125,01060,8.65,8.65
126,01067,37.75,37.75
127,01070,-1.05,1.05
128,01073,-3.51,3.51
129,01074,7.53,7.53
130,01076,4.6,4.6
131,01078,0.84,0.84
132,01080,-5.99,5.99
133,01083,-7.22,7.22
134,01090,0.37,0.37
135,01111,-0.73,0.73
136,01112,1.1,1.1
137,01119,9.23,9.23
138,01125,0.87,0.87
139,01132,-0.79,0.79
140,01137,-8.3,8.3
141,01144,-1.51,1.51
142,01145,0.71,0.71
143,01161,9.2,9.2
144,01166,12.78,12.78
145,01171,-6.04,6.04
146,01180,-9.45,9.45
147,01190,-4.43,4.43
148,01198,-13.56,13.56
149,01204,3.32,3.32
150,01205,-7.58,7.58
151,01209,3.04,3.04
152,01215,5.48,5.48
153,01221,3.22,3.22
154,01223,-4.35,4.35
155,01226,-0.87,0.87
156,01238,6.35,6.35
157,01249,3.92,3.92
158,01255,6.08,6.08
159,01272,1.6,1.6
160,01276,-5.1,5.1
161,01285,7.15,7.15
162,01302,-0.34,0.34
163,01319,6.59,6.59
164,01326,-11.67,11.67
165,01336,-9.97,9.97
166,01345,-3.89,3.89
167,01346,6.34,6.34
168,01352,-3.01,3.01
169,01383,-2.6,2.6
170,01393,-1.28,1.28
171,01395,-4.19,4.19
172,01415,2.44,2.44
173,01418,2.39,2.39
174,01431,-8.49,8.49
175,01435,4.64,4.64
176,01448,8.26,8.26
177,01450,-2.39,2.39
178,01452,-8.29,8.29
179,01467,-9.99,9.99
180,01488,61.05,61.05
181,01502,0.85,0.85
182,01504,5.4,5.4
183,01507,10.96,10.96
184,01517,4.3,4.3
185,01523,-6.01,6.01
186,01530,-3.71,3.71
187,01534,3.18,3.18
188,01543,2.62,2.62
189,16596,0.52,0.52
190,16611,-12.86,12.86
191,10268,-4.56,4.56
192,16769,-2.06,2.06
193,18903,-0.4,0.4
194,18974,1.39,1.39
195,19187,1.56,1.56
196,19188,0.84,0.84
197,19192,-4.72,4.72
198,19203,-3.36,3.36
199,19204,-1.81,1.81
200,19206,1.59,1.59
201,19211,2.88,2.88
202,19260,-2.62,2.62
203,17176,6.48,6.48
204,61986,-0.78,0.78
205,62041,-1.43,1.43
206,13343,2.39,2.39
207,17309,-1.16,1.16
208,17344,-11.71,11.71
209,30476,-1.79,1.79
210,14093,-8.45,8.45
211,30523,2.03,2.03
212,30529,-1.0,1.0
213,30620,-1.72,1.72
214,30690,-9.21,9.21
215,30750,2.53,2.53
216,25726,-14.43,14.43
217,55827,-11.9,11.9
218,23417,3.52,3.52
219,56216,-4.98,4.98
220,23450,3.71,3.71
221,56424,2.2,2.2
222,56486,1.16,1.16
223,24102,2.69,2.69
224,24103,1.18,1.18
225,16589,4.55,4.55
226,24125,3.24,3.24
227,56904,-1.79,1.79
228,56937,-6.48,6.48
229,56939,-5.72,5.72
230,56958,3.79,3.79
231,56963,-0.23,0.23
232,56986,0.29,0.29
233,16031,-1.53,1.53
234,57063,-1.33,1.33
235,57093,1.76,1.76
236,57199,-1.38,1.38
237,00038,-22.12,22.12
238,08231,7.2,7.2
239,00050,-10.58,10.58
240,00060,-7.76,7.76
241,00142,-6.22,6.22
242,00176,-3.18,3.18
243,00181,3.58,3.58
244,00208,-7.56,7.56
245,00214,8.34,8.34
246,00226,0.93,0.93
247,00249,-3.61,3.61
248,00262,-9.64,9.64
249,00264,-2.05,2.05
250,00279,11.91,11.91
251,00286,3.36,3.36
252,00300,3.86,3.86
253,00347,-10.99,10.99
254,00359,2.97,2.97
255,00407,-0.21,0.21
256,00439,2.59,2.59
257,00454,-0.28,0.28
258,00509,6.19,6.19
259,00535,0.15,0.15
260,00539,6.5,6.5
261,00606,0.49,0.49
262,00609,-1.39,1.39
263,00628,4.24,4.24
264,00636,1.42,1.42
265,00638,-1.71,1.71
266,00688,2.3,2.3
267,00720,-6.76,6.76
268,00730,2.07,2.07
269,25315,-1.6,1.6
270,00757,-2.97,2.97
271,00782,0.79,0.79
272,00808,5.52,5.52
273,00818,5.99,5.99
274,00825,-0.97,0.97
275,17210,3.59,3.59
276,00843,-2.25,2.25
277,00863,0.98,0.98
278,00877,27.34,27.34
279,00878,-13.75,13.75
280,00883,1.18,1.18
281,09092,2.95,2.95
282,00915,-11.86,11.86
283,00926,53.34,53.34
284,00949,-10.44,10.44
285,00954,2.78,2.78
286,00963,-1.24,1.24
287,00980,1.54,1.54
288,00996,-11.61,11.61
289,25618,-3.31,3.31
290,09280,-0.21,0.21
291,01105,5.66,5.66
292,01141,-2.71,2.71
293,01148,-14.24,14.24
294,01149,-15.92,15.92
295,01155,8.38,8.38
296,01164,-16.56,16.56
297,01173,-19.37,19.37
298,01185,-5.69,5.69
299,01191,9.71,9.71
300,01214,12.55,12.55
301,01217,2.16,2.16
302,01222,6.04,6.04
303,01227,-7.16,7.16
304,01243,-11.37,11.37
305,01245,13.01,13.01
306,01291,-9.84,9.84
307,01324,8.71,8.71
308,01362,9.8,9.8
309,01371,10.33,10.33
310,01382,-7.33,7.33
311,01412,-10.59,10.59
312,01475,-1.34,1.34
313,01489,-4.01,4.01
314,01491,18.43,18.43
315,01494,-23.26,23.26
316,01501,-1.34,1.34
317,01508,-7.82,7.82
318,01509,1.48,1.48
319,01551,-0.52,0.52
320,01563,12.7,12.7
321,16612,6.32,6.32
322,24770,-3.37,3.37
323,08605,-5.87,5.87
324,02515,2.2,2.2
325,18985,1.0,1.0
326,02710,1.17,1.17
327,19193,-7.0,7.0
328,19259,3.62,3.62
329,03805,6.56,6.56
