,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,geometry,raster_id
0,00003,FAIR ISLE,fair-isle,shetland,59.526,-1.63,57,1974,2020,"POLYGON ((-1.5299999999999998 59.526, -1.53048152733278 59.51619828596705, -1.5319214719596768 59.50649096779839, -1.534305966426779 59.49697153227456, -1.5376120467488712 59.48773165676349, -1.5418078735651644 59.4788603263174, -1.5468530387697454 59.470442976698045, -1.5526989546637262 59.46256067158364, -1.559289321881345 59.455289321881345, -1.5665606715836353 59.448698954663726, -1.5744429766980397 59.44285303876975, -1.5828603263174001 59.43780787356517, -1.591731656763491 59.43361204674888, -1.6009715322745537 59.43030596642678, -1.610490967798387 59.42792147195968, -1.6201982859670438 59.42648152733278, -1.63 59.426, -1.639801714032956 59.42648152733278, -1.6495090322016126 59.42792147195968, -1.659028467725446 59.43030596642678, -1.6682683432365089 59.43361204674888, -1.6771396736825996 59.43780787356517, -1.6855570233019601 59.44285303876975, -1.6934393284163645 59.448698954663726, -1.7007106781186547 59.455289321881345, -1.7073010453362736 59.46256067158364, -1.7131469612302543 59.470442976698045, -1.7181921264348354 59.4788603263174, -1.7223879532511286 59.48773165676349, -1.7256940335732207 59.49697153227456, -1.728078528040323 59.50649096779839, -1.7295184726672197 59.51619828596705, -1.73 59.526, -1.7295184726672197 59.53580171403296, -1.728078528040323 59.545509032201615, -1.7256940335732207 59.55502846772545, -1.7223879532511286 59.56426834323651, -1.7181921264348354 59.573139673682604, -1.7131469612302546 59.58155702330196, -1.7073010453362736 59.58943932841637, -1.7007106781186547 59.59671067811866, -1.6934393284163645 59.60330104533627, -1.6855570233019601 59.60914696123026, -1.6771396736825996 59.61419212643484, -1.6682683432365089 59.61838795325113, -1.659028467725446 59.62169403357323, -1.6495090322016128 59.62407852804033, -1.639801714032956 59.625518472667224, -1.63 59.626000000000005, -1.6201982859670438 59.625518472667224, -1.610490967798387 59.62407852804033, -1.6009715322745537 59.62169403357323, -1.591731656763491 59.61838795325113, -1.5828603263174001 59.61419212643484, -1.5744429766980397 59.60914696123026, -1.5665606715836353 59.60330104533628, -1.559289321881345 59.59671067811866, -1.5526989546637262 59.58943932841637, -1.5468530387697454 59.58155702330196, -1.5418078735651644 59.573139673682604, -1.5376120467488712 59.56426834323651, -1.534305966426779 59.55502846772545, -1.5319214719596768 59.545509032201615, -1.53048152733278 59.53580171403296, -1.5299999999999998 59.526))",4
3,00023,KIRKWALL,kirkwall,orkney,58.953,-2.901,26,1957,2020,"POLYGON ((-2.8009999999999997 58.953, -2.80148152733278 58.94319828596705, -2.8029214719596767 58.93349096779839, -2.8053059664267788 58.92397153227456, -2.808612046748871 58.91473165676349, -2.8128078735651645 58.9058603263174, -2.817853038769745 58.897442976698045, -2.823698954663726 58.88956067158364, -2.830289321881345 58.882289321881345, -2.8375606715836352 58.87569895466373, -2.8454429766980396 58.86985303876975, -2.8538603263174 58.86480787356517, -2.862731656763491 58.86061204674888, -2.8719715322745536 58.85730596642678, -2.881490967798387 58.85492147195968, -2.8911982859670435 58.85348152733278, -2.901 58.853, -2.910801714032956 58.85348152733278, -2.9205090322016125 58.85492147195968, -2.930028467725446 58.85730596642678, -2.9392683432365088 58.86061204674888, -2.9481396736825998 58.86480787356517, -2.95655702330196 58.86985303876975, -2.9644393284163644 58.875698954663726, -2.9717106781186544 58.882289321881345, -2.9783010453362735 58.88956067158364, -2.9841469612302545 58.897442976698045, -2.989192126434835 58.9058603263174, -2.9933879532511285 58.91473165676349, -2.996694033573221 58.92397153227456, -2.999078528040323 58.93349096779839, -3.0005184726672196 58.94319828596705, -3.001 58.953, -3.0005184726672196 58.962801714032956, -2.999078528040323 58.972509032201614, -2.996694033573221 58.98202846772545, -2.9933879532511285 58.99126834323651, -2.989192126434835 59.000139673682604, -2.9841469612302545 59.00855702330196, -2.9783010453362735 59.01643932841637, -2.9717106781186544 59.02371067811866, -2.9644393284163644 59.03030104533627, -2.95655702330196 59.03614696123026, -2.9481396736825998 59.04119212643484, -2.9392683432365088 59.04538795325113, -2.930028467725446 59.04869403357323, -2.9205090322016125 59.05107852804033, -2.910801714032956 59.052518472667224, -2.901 59.053000000000004, -2.891198285967044 59.052518472667224, -2.881490967798387 59.05107852804033, -2.8719715322745536 59.04869403357323, -2.862731656763491 59.04538795325113, -2.8538603263174 59.04119212643484, -2.8454429766980396 59.03614696123026, -2.8375606715836352 59.03030104533627, -2.830289321881345 59.02371067811866, -2.823698954663726 59.01643932841637, -2.817853038769745 59.00855702330196, -2.8128078735651645 59.000139673682604, -2.808612046748871 58.99126834323651, -2.8053059664267788 58.98202846772545, -2.8029214719596767 58.972509032201614, -2.80148152733278 58.962801714032956, -2.8009999999999997 58.953))",4
4,00032,WICK AIRPORT,wick-airport,caithness,58.454,-3.09,36,1930,2020,"POLYGON ((-2.9899999999999998 58.454, -2.99048152733278 58.44419828596705, -2.9919214719596767 58.43449096779839, -2.994305966426779 58.424971532274554, -2.997612046748871 58.41573165676349, -3.0018078735651645 58.4068603263174, -3.006853038769745 58.39844297669804, -3.012698954663726 58.390560671583636, -3.0192893218813452 58.38328932188134, -3.0265606715836353 58.37669895466372, -3.0344429766980396 58.370853038769745, -3.0428603263174 58.36580787356517, -3.051731656763491 58.361612046748874, -3.0609715322745537 58.35830596642678, -3.070490967798387 58.355921471959675, -3.0801982859670436 58.35448152733278, -3.09 58.354, -3.099801714032956 58.35448152733278, -3.1095090322016126 58.355921471959675, -3.119028467725446 58.35830596642678, -3.128268343236509 58.361612046748874, -3.1371396736826 58.36580787356517, -3.14555702330196 58.370853038769745, -3.1534393284163644 58.37669895466372, -3.1607106781186545 58.38328932188134, -3.1673010453362735 58.390560671583636, -3.1731469612302545 58.39844297669804, -3.178192126434835 58.4068603263174, -3.1823879532511286 58.41573165676349, -3.185694033573221 58.424971532274554, -3.188078528040323 58.43449096779839, -3.1895184726672197 58.44419828596705, -3.19 58.454, -3.1895184726672197 58.463801714032954, -3.188078528040323 58.47350903220161, -3.185694033573221 58.48302846772545, -3.1823879532511286 58.49226834323651, -3.178192126434835 58.5011396736826, -3.1731469612302545 58.50955702330196, -3.1673010453362735 58.517439328416366, -3.1607106781186545 58.52471067811866, -3.1534393284163644 58.53130104533627, -3.14555702330196 58.537146961230256, -3.1371396736826 58.542192126434834, -3.128268343236509 58.54638795325113, -3.119028467725446 58.549694033573225, -3.1095090322016126 58.552078528040326, -3.099801714032956 58.55351847266722, -3.09 58.554, -3.080198285967044 58.55351847266722, -3.070490967798387 58.552078528040326, -3.0609715322745537 58.549694033573225, -3.051731656763491 58.54638795325113, -3.0428603263174 58.542192126434834, -3.0344429766980396 58.537146961230256, -3.0265606715836353 58.53130104533628, -3.0192893218813452 58.52471067811866, -3.012698954663726 58.517439328416366, -3.006853038769745 58.50955702330196, -3.0018078735651645 58.5011396736826, -2.997612046748871 58.49226834323651, -2.994305966426779 58.48302846772545, -2.9919214719596767 58.47350903220161, -2.99048152733278 58.463801714032954, -2.9899999999999998 58.454))",4
5,00040,CASSLEY,cassley,sutherland,58.168,-4.727,99,1999,2020,"POLYGON ((-4.627000000000001 58.168, -4.6274815273327805 58.158198285967046, -4.628921471959678 58.14849096779839, -4.63130596642678 58.13897153227455, -4.634612046748872 58.12973165676349, -4.638807873565165 58.1208603263174, -4.643853038769746 58.11244297669804, -4.649698954663727 58.104560671583634, -4.656289321881346 58.09728932188134, -4.663560671583636 58.09069895466372, -4.67144297669804 58.084853038769744, -4.6798603263174 58.079807873565166, -4.688731656763491 58.07561204674887, -4.697971532274554 58.072305966426775, -4.707490967798387 58.069921471959674, -4.7171982859670445 58.06848152733278, -4.727 58.068, -4.736801714032956 58.06848152733278, -4.7465090322016135 58.069921471959674, -4.7560284677254465 58.072305966426775, -4.765268343236509 58.07561204674887, -4.7741396736826 58.079807873565166, -4.78255702330196 58.084853038769744, -4.790439328416364 58.09069895466372, -4.797710678118655 58.09728932188134, -4.804301045336274 58.104560671583634, -4.810146961230255 58.11244297669804, -4.815192126434836 58.1208603263174, -4.819387953251129 58.12973165676349, -4.822694033573221 58.13897153227455, -4.825078528040323 58.14849096779839, -4.82651847266722 58.158198285967046, -4.827 58.168, -4.82651847266722 58.17780171403295, -4.825078528040323 58.18750903220161, -4.822694033573221 58.197028467725445, -4.819387953251129 58.20626834323651, -4.815192126434836 58.2151396736826, -4.810146961230255 58.22355702330196, -4.804301045336274 58.231439328416364, -4.797710678118655 58.23871067811866, -4.790439328416365 58.24530104533627, -4.78255702330196 58.251146961230255, -4.7741396736826 58.25619212643483, -4.765268343236509 58.260387953251126, -4.7560284677254465 58.26369403357322, -4.7465090322016135 58.266078528040325, -4.736801714032956 58.26751847266722, -4.727 58.268, -4.7171982859670445 58.26751847266722, -4.707490967798387 58.266078528040325, -4.697971532274554 58.26369403357322, -4.688731656763491 58.260387953251126, -4.6798603263174 58.25619212643483, -4.6714429766980405 58.251146961230255, -4.663560671583636 58.24530104533628, -4.656289321881346 58.23871067811866, -4.649698954663727 58.231439328416364, -4.643853038769746 58.22355702330196, -4.638807873565165 58.2151396736826, -4.634612046748872 58.20626834323651, -4.63130596642678 58.197028467725445, -4.628921471959678 58.18750903220161, -4.6274815273327805 58.17780171403295, -4.627000000000001 58.168))",4
6,00044,ALTNAHARRA NO 2,altnaharra-no-2,sutherland,58.288,-4.442,81,1993,2020,"POLYGON ((-4.3420000000000005 58.288, -4.34248152733278 58.27819828596704, -4.3439214719596775 58.268490967798385, -4.34630596642678 58.25897153227455, -4.349612046748872 58.24973165676349, -4.353807873565165 58.240860326317396, -4.3588530387697455 58.23244297669804, -4.3646989546637265 58.22456067158363, -4.371289321881346 58.21728932188134, -4.378560671583636 58.21069895466373, -4.3864429766980395 58.20485303876974, -4.3948603263174 58.19980787356516, -4.403731656763491 58.19561204674887, -4.412971532274554 58.19230596642677, -4.422490967798387 58.18992147195967, -4.432198285967044 58.188481527332776, -4.442 58.187999999999995, -4.451801714032956 58.188481527332776, -4.461509032201613 58.18992147195967, -4.471028467725446 58.19230596642677, -4.480268343236509 58.19561204674887, -4.4891396736826 58.19980787356516, -4.49755702330196 58.20485303876974, -4.505439328416364 58.21069895466372, -4.512710678118655 58.21728932188134, -4.519301045336274 58.22456067158363, -4.525146961230255 58.23244297669804, -4.5301921264348355 58.240860326317396, -4.534387953251128 58.24973165676349, -4.537694033573221 58.25897153227455, -4.540078528040323 58.268490967798385, -4.54151847266722 58.27819828596704, -4.542 58.288, -4.54151847266722 58.29780171403295, -4.540078528040323 58.30750903220161, -4.537694033573221 58.31702846772544, -4.534387953251128 58.32626834323651, -4.5301921264348355 58.3351396736826, -4.525146961230255 58.343557023301955, -4.519301045336274 58.35143932841636, -4.512710678118655 58.358710678118655, -4.505439328416365 58.36530104533627, -4.49755702330196 58.37114696123025, -4.4891396736826 58.37619212643483, -4.480268343236509 58.38038795325112, -4.471028467725446 58.38369403357322, -4.461509032201613 58.38607852804032, -4.451801714032956 58.38751847266722, -4.442 58.388, -4.432198285967044 58.38751847266722, -4.422490967798387 58.38607852804032, -4.412971532274554 58.38369403357322, -4.403731656763491 58.38038795325112, -4.3948603263174 58.37619212643483, -4.38644297669804 58.37114696123025, -4.378560671583636 58.36530104533627, -4.371289321881346 58.358710678118655, -4.3646989546637265 58.35143932841636, -4.3588530387697455 58.343557023301955, -4.353807873565165 58.3351396736826, -4.349612046748872 58.32626834323651, -4.34630596642678 58.31702846772544, -4.3439214719596775 58.30750903220161, -4.34248152733278 58.29780171403295, -4.3420000000000005 58.288))",4
7,00048,"KINBRACE, HATCHERY",kinbrace-hatchery,sutherland,58.23,-3.922,103,1999,2020,"POLYGON ((-3.822 58.23, -3.8224815273327803 58.220198285967044, -3.823921471959677 58.210490967798385, -3.826305966426779 58.20097153227455, -3.8296120467488715 58.19173165676349, -3.833807873565165 58.182860326317396, -3.8388530387697455 58.17444297669804, -3.8446989546637265 58.16656067158363, -3.8512893218813455 58.15928932188134, -3.8585606715836356 58.15269895466372, -3.86644297669804 58.14685303876974, -3.8748603263174 58.14180787356516, -3.883731656763491 58.13761204674887, -3.892971532274554 58.13430596642677, -3.9024909677983874 58.13192147195967, -3.912198285967044 58.130481527332776, -3.922 58.129999999999995, -3.9318017140329564 58.130481527332776, -3.941509032201613 58.13192147195967, -3.9510284677254464 58.13430596642677, -3.960268343236509 58.13761204674887, -3.9691396736826 58.14180787356516, -3.9775570233019604 58.14685303876974, -3.9854393284163647 58.15269895466372, -3.9927106781186548 58.15928932188134, -3.999301045336274 58.16656067158363, -4.005146961230254 58.17444297669804, -4.010192126434836 58.182860326317396, -4.014387953251129 58.19173165676349, -4.017694033573221 58.20097153227455, -4.020078528040323 58.210490967798385, -4.0215184726672195 58.220198285967044, -4.022 58.23, -4.0215184726672195 58.23980171403295, -4.020078528040323 58.24950903220161, -4.017694033573221 58.25902846772544, -4.014387953251129 58.26826834323651, -4.010192126434836 58.2771396736826, -4.005146961230254 58.285557023301955, -3.999301045336274 58.29343932841636, -3.9927106781186548 58.300710678118655, -3.9854393284163647 58.30730104533627, -3.9775570233019604 58.31314696123025, -3.9691396736826 58.31819212643483, -3.960268343236509 58.32238795325112, -3.9510284677254464 58.32569403357322, -3.941509032201613 58.32807852804032, -3.9318017140329564 58.32951847266722, -3.922 58.33, -3.9121982859670443 58.32951847266722, -3.9024909677983874 58.32807852804032, -3.892971532274554 58.32569403357322, -3.883731656763491 58.32238795325112, -3.8748603263174 58.31819212643483, -3.86644297669804 58.31314696123025, -3.8585606715836356 58.307301045336274, -3.8512893218813455 58.300710678118655, -3.8446989546637265 58.29343932841636, -3.8388530387697455 58.285557023301955, -3.833807873565165 58.2771396736826, -3.8296120467488715 58.26826834323651, -3.826305966426779 58.25902846772544, -3.823921471959677 58.24950903220161, -3.8224815273327803 58.23980171403295, -3.822 58.23))",4
8,00052,AULTBEA NO 2,aultbea-no-2,ross-and-cromarty,57.859,-5.633,11,1990,2020,"POLYGON ((-5.533 57.859, -5.53348152733278 57.84919828596705, -5.534921471959677 57.83949096779839, -5.537305966426779 57.829971532274556, -5.540612046748872 57.82073165676349, -5.544807873565165 57.8118603263174, -5.549853038769745 57.803442976698044, -5.555698954663726 57.79556067158364, -5.562289321881345 57.788289321881344, -5.569560671583636 57.781698954663725, -5.577442976698039 57.775853038769746, -5.5858603263174 57.77080787356517, -5.594731656763491 57.766612046748875, -5.603971532274554 57.76330596642678, -5.613490967798387 57.760921471959676, -5.623198285967044 57.75948152733278, -5.633 57.759, -5.642801714032956 57.75948152733278, -5.652509032201613 57.760921471959676, -5.662028467725446 57.76330596642678, -5.671268343236509 57.766612046748875, -5.6801396736826 57.77080787356517, -5.68855702330196 57.775853038769746, -5.696439328416364 57.781698954663725, -5.703710678118655 57.788289321881344, -5.710301045336274 57.79556067158364, -5.716146961230255 57.803442976698044, -5.721192126434835 57.8118603263174, -5.725387953251128 57.82073165676349, -5.728694033573221 57.829971532274556, -5.731078528040323 57.83949096779839, -5.73251847266722 57.84919828596705, -5.733 57.859, -5.73251847266722 57.868801714032955, -5.731078528040323 57.87850903220161, -5.728694033573221 57.88802846772545, -5.725387953251129 57.89726834323651, -5.721192126434835 57.9061396736826, -5.716146961230255 57.91455702330196, -5.710301045336274 57.92243932841637, -5.703710678118655 57.92971067811866, -5.696439328416365 57.93630104533627, -5.688557023301961 57.94214696123026, -5.6801396736826 57.947192126434835, -5.671268343236509 57.95138795325113, -5.662028467725446 57.954694033573226, -5.652509032201613 57.95707852804033, -5.642801714032956 57.95851847266722, -5.633 57.959, -5.623198285967044 57.95851847266722, -5.613490967798387 57.95707852804033, -5.603971532274554 57.954694033573226, -5.594731656763491 57.95138795325113, -5.5858603263174 57.947192126434835, -5.57744297669804 57.94214696123026, -5.569560671583636 57.93630104533628, -5.562289321881345 57.92971067811866, -5.555698954663726 57.92243932841637, -5.549853038769745 57.91455702330196, -5.544807873565165 57.9061396736826, -5.540612046748872 57.89726834323651, -5.537305966426779 57.88802846772545, -5.534921471959677 57.87850903220161, -5.53348152733278 57.868801714032955, -5.533 57.859))",5
9,00054,STORNOWAY AIRPORT,stornoway-airport,western-isles,58.213,-6.319,15,1930,2020,"POLYGON ((-6.219 58.213, -6.21948152733278 58.20319828596705, -6.220921471959677 58.19349096779839, -6.223305966426779 58.183971532274555, -6.226612046748872 58.17473165676349, -6.230807873565165 58.1658603263174, -6.235853038769745 58.15744297669804, -6.241698954663726 58.149560671583636, -6.248289321881345 58.14228932188134, -6.255560671583636 58.135698954663724, -6.263442976698039 58.129853038769745, -6.2718603263174 58.12480787356517, -6.280731656763491 58.120612046748874, -6.289971532274554 58.11730596642678, -6.299490967798387 58.114921471959676, -6.309198285967044 58.11348152733278, -6.319 58.113, -6.328801714032956 58.11348152733278, -6.338509032201613 58.114921471959676, -6.348028467725446 58.11730596642678, -6.357268343236509 58.120612046748874, -6.3661396736826 58.12480787356517, -6.37455702330196 58.129853038769745, -6.382439328416364 58.135698954663724, -6.389710678118655 58.14228932188134, -6.396301045336274 58.149560671583636, -6.402146961230255 58.15744297669804, -6.407192126434835 58.1658603263174, -6.411387953251128 58.17473165676349, -6.4146940335732205 58.183971532274555, -6.417078528040323 58.19349096779839, -6.41851847266722 58.20319828596705, -6.419 58.213, -6.41851847266722 58.222801714032954, -6.417078528040323 58.23250903220161, -6.4146940335732205 58.24202846772545, -6.411387953251129 58.25126834323651, -6.407192126434835 58.2601396736826, -6.402146961230255 58.26855702330196, -6.396301045336274 58.276439328416366, -6.389710678118655 58.28371067811866, -6.382439328416365 58.29030104533627, -6.374557023301961 58.29614696123026, -6.3661396736826 58.301192126434835, -6.357268343236509 58.30538795325113, -6.348028467725446 58.308694033573225, -6.338509032201613 58.311078528040326, -6.328801714032956 58.31251847266722, -6.319 58.313, -6.309198285967044 58.31251847266722, -6.299490967798387 58.311078528040326, -6.289971532274554 58.308694033573225, -6.280731656763491 58.30538795325113, -6.2718603263174 58.301192126434835, -6.26344297669804 58.29614696123026, -6.255560671583636 58.29030104533628, -6.248289321881345 58.28371067811866, -6.241698954663726 58.276439328416366, -6.235853038769745 58.26855702330196, -6.230807873565165 58.2601396736826, -6.226612046748872 58.25126834323651, -6.223305966426779 58.24202846772545, -6.220921471959677 58.23250903220161, -6.21948152733278 58.222801714032954, -6.219 58.213))",5
10,00066,KINLOCHEWE,kinlochewe,ross-and-cromarty,57.613,-5.306,25,2005,2020,"POLYGON ((-5.206 57.613, -5.20648152733278 57.603198285967046, -5.207921471959677 57.59349096779839, -5.2103059664267795 57.58397153227455, -5.213612046748872 57.57473165676349, -5.217807873565165 57.5658603263174, -5.222853038769745 57.55744297669804, -5.228698954663726 57.549560671583635, -5.235289321881345 57.54228932188134, -5.242560671583636 57.53569895466373, -5.250442976698039 57.529853038769744, -5.2588603263174 57.524807873565166, -5.267731656763491 57.52061204674887, -5.276971532274554 57.517305966426775, -5.286490967798387 57.514921471959674, -5.296198285967044 57.51348152733278, -5.306 57.513, -5.315801714032956 57.51348152733278, -5.325509032201613 57.514921471959674, -5.335028467725446 57.517305966426775, -5.344268343236509 57.52061204674887, -5.3531396736826 57.524807873565166, -5.36155702330196 57.529853038769744, -5.369439328416364 57.53569895466372, -5.376710678118655 57.54228932188134, -5.383301045336274 57.549560671583635, -5.389146961230255 57.55744297669804, -5.394192126434835 57.5658603263174, -5.398387953251128 57.57473165676349, -5.401694033573221 57.58397153227455, -5.404078528040323 57.59349096779839, -5.40551847266722 57.603198285967046, -5.406 57.613, -5.40551847266722 57.62280171403295, -5.404078528040323 57.63250903220161, -5.401694033573221 57.642028467725446, -5.398387953251129 57.65126834323651, -5.394192126434835 57.6601396736826, -5.389146961230255 57.66855702330196, -5.383301045336274 57.676439328416365, -5.376710678118655 57.68371067811866, -5.369439328416365 57.69030104533627, -5.361557023301961 57.696146961230255, -5.3531396736826 57.70119212643483, -5.344268343236509 57.705387953251126, -5.335028467725446 57.708694033573224, -5.325509032201613 57.711078528040325, -5.315801714032956 57.71251847266722, -5.306 57.713, -5.296198285967044 57.71251847266722, -5.286490967798387 57.711078528040325, -5.276971532274554 57.708694033573224, -5.267731656763491 57.705387953251126, -5.2588603263174 57.70119212643483, -5.25044297669804 57.696146961230255, -5.242560671583636 57.69030104533627, -5.235289321881345 57.68371067811866, -5.228698954663726 57.676439328416365, -5.222853038769745 57.66855702330196, -5.217807873565165 57.6601396736826, -5.213612046748872 57.65126834323651, -5.2103059664267795 57.642028467725446, -5.207921471959677 57.63250903220161, -5.20648152733278 57.62280171403295, -5.206 57.613))",5
11,00067,LOCH GLASCARNOCH,loch-glascarnoch,ross-and-cromarty,57.725,-4.895,269,1992,2020,"POLYGON ((-4.795 57.725, -4.79548152733278 57.71519828596705, -4.796921471959677 57.70549096779839, -4.799305966426779 57.695971532274555, -4.802612046748871 57.68673165676349, -4.806807873565164 57.6778603263174, -4.811853038769745 57.66944297669804, -4.817698954663726 57.661560671583636, -4.824289321881345 57.65428932188134, -4.8315606715836354 57.647698954663724, -4.839442976698039 57.641853038769746, -4.8478603263174 57.63680787356517, -4.856731656763491 57.632612046748875, -4.865971532274553 57.62930596642678, -4.875490967798386 57.626921471959676, -4.885198285967044 57.62548152733278, -4.895 57.625, -4.904801714032955 57.62548152733278, -4.914509032201613 57.626921471959676, -4.924028467725446 57.62930596642678, -4.9332683432365085 57.632612046748875, -4.9421396736825995 57.63680787356517, -4.950557023301959 57.641853038769746, -4.958439328416364 57.647698954663724, -4.965710678118654 57.65428932188134, -4.972301045336273 57.661560671583636, -4.978146961230254 57.66944297669804, -4.983192126434835 57.6778603263174, -4.987387953251128 57.68673165676349, -4.99069403357322 57.695971532274555, -4.993078528040322 57.70549096779839, -4.994518472667219 57.71519828596705, -4.994999999999999 57.725, -4.994518472667219 57.734801714032955, -4.993078528040322 57.74450903220161, -4.99069403357322 57.75402846772545, -4.987387953251128 57.76326834323651, -4.983192126434835 57.7721396736826, -4.978146961230254 57.78055702330196, -4.972301045336273 57.788439328416366, -4.965710678118654 57.79571067811866, -4.958439328416365 57.80230104533627, -4.950557023301959 57.80814696123026, -4.9421396736825995 57.813192126434835, -4.9332683432365085 57.81738795325113, -4.924028467725446 57.820694033573226, -4.914509032201613 57.82307852804033, -4.904801714032955 57.82451847266722, -4.895 57.825, -4.885198285967044 57.82451847266722, -4.875490967798386 57.82307852804033, -4.865971532274553 57.820694033573226, -4.856731656763491 57.81738795325113, -4.8478603263174 57.813192126434835, -4.83944297669804 57.80814696123026, -4.8315606715836354 57.80230104533628, -4.824289321881345 57.79571067811866, -4.817698954663726 57.788439328416366, -4.811853038769745 57.78055702330196, -4.806807873565164 57.7721396736826, -4.802612046748871 57.76326834323651, -4.799305966426779 57.75402846772545, -4.796921471959677 57.74450903220161, -4.79548152733278 57.734801714032955, -4.795 57.725))",4
