,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,geometry,grid_id,grid_id_distance,Slope_resorted,Slope_sorted
0,3,FAIR ISLE,fair-isle,shetland,59.526,-1.63,57,1974,2020,POINT (-1.63 59.526),99,279096.47724073153,27.24,43.44
1,9,LERWICK,lerwick,shetland,60.139,-1.185,82,1930,2020,POINT (-1.185 60.139),99,322571.74496837525,8.32,11.57
2,12,BALTASOUND NO 2,baltasound-no-2,shetland,60.748,-0.856,15,1990,2020,POINT (-0.856 60.748),99,365510.622759938,7.3,8.99
3,23,KIRKWALL,kirkwall,orkney,58.953,-2.901,26,1957,2020,POINT (-2.901 58.953),49,239398.22649677133,4.33,12.69
4,32,WICK AIRPORT,wick-airport,caithness,58.454,-3.09,36,1930,2020,POINT (-3.09 58.454),49,207451.92779851094,11.44,8.94
5,48,"KINBRACE, HATCHERY",kinbrace-hatchery,sutherland,58.23,-3.922,103,1999,2020,POINT (-3.922 58.23),9,195468.4368813189,10.07,13.37
6,52,AULTBEA NO 2,aultbea-no-2,ross-and-cromarty,57.859,-5.633,11,1990,2020,POINT (-5.633 57.859),9,219046.8196363935,10.22,21.58
7,66,KINLOCHEWE,kinlochewe,ross-and-cromarty,57.613,-5.306,25,2005,2020,POINT (-5.306 57.613),9,193375.75634541461,8.31,10.08
8,79,TAIN RANGE,tain-range,ross-and-cromarty,57.819,-3.967,4,1990,2020,POINT (-3.967 57.819),9,169645.66378978698,2.81,6.49
9,105,TULLOCH BRIDGE,tulloch-bridge,inverness-shire,56.867,-4.708,249,1990,2020,POINT (-4.708 56.867),9,131412.87335473302,17.99,33.83
10,111,DALWHINNIE NO 2,dalwhinnie-no-2,inverness-shire,56.94,-4.238,351,2000,2020,POINT (-4.238 56.94),9,120030.51588108623,6.34,14.92
11,132,KINLOSS,kinloss,moray-in-grampian-region,57.645,-3.563,5,1957,2020,POINT (-3.563 57.645),9,155606.1246470981,7.44,7.71
12,137,LOSSIEMOUTH,lossiemouth,moray-in-grampian-region,57.711,-3.323,7,1989,2020,POINT (-3.323 57.711),9,160186.4206311502,4.46,4.87
13,148,BALMORAL,balmoral,aberdeenshire,57.037,-3.22,283,2013,2020,POINT (-3.22 57.037),29,116408.55902599763,6.29,10.35
14,159,FYVIE CASTLE,fyvie-castle,aberdeenshire,57.443,-2.39,55,1999,2020,POINT (-2.39 57.443),79,142232.8042638371,7.69,14.97
15,160,CRAIBSTONE,craibstone,aberdeenshire,57.187,-2.215,102,2010,2020,POINT (-2.215 57.187),89,125452.51863934346,9.38,12.2
16,161,DYCE,dyce,aberdeenshire,57.205,-2.205,65,1957,2020,POINT (-2.205 57.205),89,126627.45484822354,4.29,3.63
17,177,INVERBERVIE NO 2,inverbervie-no-2,kincardineshire,56.852,-2.266,134,1992,2020,POINT (-2.266 56.852),89,103748.5435095202,20.47,26.19
18,195,TYNDRUM NO 3,tyndrum-no-3,perthshire-in-central-region,56.419,-4.661,168,1999,2020,POINT (-4.661 56.419),9,107407.92749039653,19.04,40.04
19,212,STRATHALLAN AIRFIELD,strathallan-airfield,perthshire-in-tayside-region,56.326,-3.729,35,1990,2020,POINT (-3.729 56.326),9,71702.9234207053,4.2,8.43
20,253,"EDINBURGH, ROYAL BOTANIC GARDEN NO 2",edinburgh-royal-botanic-garden-no-2,midlothian-in-lothian-region,55.967,-3.212,28,2010,2020,POINT (-3.212 55.967),29,47049.87099068388,6.14,12.22
